facility_id,flag,severity,detail
GA00836,ddf_name_collision,WARN,site name 'SINCLAIR' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
NC00419,ddf_name_collision,WARN,site name 'HIWASSEE' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
IN03001,ddf_name_collision,WARN,site name 'MONROE LAKE DAM' shared by 4 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
KS00025,ddf_name_collision,WARN,site name 'WEBSTER' shared by 4 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
KS00026,ddf_name_collision,WARN,site name 'CLINTON DAM' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
OK02504,ddf_name_collision,WARN,site name 'NORMAN' shared by 3 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
OR00014,ddf_name_collision,WARN,site name 'HILLS CREEK' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
MN00076,ddf_name_collision,WARN,site name 'DEER LAKE' shared by 8 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
OH00426,ddf_name_collision,WARN,site name 'HUFFMAN DAM' shared by 3 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
CA00125,ddf_name_collision,WARN,site name 'CHERRY VALLEY' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
WV00701,ddf_name_collision,WARN,site name 'SUTTON DAM' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
WA00257,ddf_name_collision,WARN,site name 'ALDER' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
AR00534,ddf_name_collision,WARN,site name 'CARPENTER' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
CA01224,ddf_name_collision,WARN,site name 'NEW SPICER MEADOW' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
AZ10310,ddf_name_collision,WARN,site name 'HORSESHOE' shared by 3 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
TX01659,ddf_name_collision,WARN,site name 'BRADY LAKE DAM' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
OK00452,ddf_name_collision,WARN,site name 'ELLSWORTH' shared by 3 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
CA00717,ddf_name_collision,WARN,site name 'BUENA VISTA' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
ND00332,ddf_name_collision,WARN,site name 'LAKE DARLING DAM' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
KS00024,ddf_name_collision,WARN,site name 'NORTON' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
CA00425,ddf_name_collision,WARN,site name 'NEW SPICER MEADOW' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
AZ10312,ddf_name_collision,WARN,site name 'PARKER' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
KY03027,ddf_name_collision,WARN,site name 'BUCKHORN LAKE DAM' shared by 3 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
CA10243,ddf_name_collision,WARN,site name 'BUCHANAN DAM' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
MD00004,ddf_name_collision,WARN,site name 'DEEP CREEK DAM' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
PA01132,ddf_name_collision,WARN,site name 'TIOGA DAM' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
CO02045,ddf_name_collision,WARN,site name 'TWIN LAKES' shared by 12 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
MT00560,ddf_name_collision,WARN,site name 'HAUSER DAM' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
PA01133,ddf_name_collision,WARN,site name 'HAMMOND DAM' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
CA00412,ddf_name_collision,WARN,site name 'COURTRIGHT' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
PA00102,ddf_name_collision,WARN,site name 'CROOKED CREEK DAM' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
AK00001,ddf_name_collision,WARN,site name 'COOPER LAKE' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
NC00329,ddf_name_collision,WARN,site name 'OXFORD' shared by 3 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
NE01077,ddf_name_collision,WARN,site name 'SHERMAN DAM' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
OR00007,ddf_name_collision,WARN,site name 'FALL CREEK' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
MT00571,ddf_name_collision,WARN,site name 'GIBSON' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
OR00381,ddf_name_collision,WARN,site name 'CRESCENT LAKE DAM' shared by 8 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
NY00750,ddf_name_collision,WARN,site name 'WARNER DAM' shared by 4 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
VT00025,ddf_name_collision,WARN,site name 'HARRIMAN' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
OR00577,ddf_name_collision,WARN,site name 'MASON DAM' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
CO00384,ddf_name_collision,WARN,site name 'POINT OF ROCKS' shared by 3 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
WA00021,ddf_name_collision,WARN,site name 'LONG LAKE' shared by 8 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
TX03945,ddf_name_collision,WARN,site name 'GRAHAM DAM' shared by 4 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
TX03698,ddf_name_collision,WARN,site name 'GREENBELT DAM' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
CA00757,ddf_name_collision,WARN,site name 'BEAR VALLEY' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
CO00112,ddf_name_collision,WARN,site name 'RIVERSIDE' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
PA00103,ddf_name_collision,WARN,site name 'UNION CITY DAM' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
TX02152,ddf_name_collision,WARN,site name 'COLEMAN DAM' shared by 3 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
OR00624,ddf_name_collision,WARN,site name 'APPLEGATE' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
CA00294,ddf_name_collision,WARN,site name 'ANDERSON' shared by 5 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
KY03010,ddf_name_collision,WARN,site name 'WOLF CREEK' shared by 6 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
AL07701,ddf_name_collision,WARN,site name 'WHEELER' shared by 3 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
WY01295,ddf_name_collision,WARN,site name 'PATHFINDER DIKE' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
