facility_id,reasons
AR00434,ddf_name_collision
AR00441,ddf_name_collision;tail_sensitivity_lost_name_collision
AR00444,ddf_name_collision
AR00566,ddf_name_collision;tail_sensitivity_lost_name_collision
AR00627,ddf_name_collision
AR00629,ddf_name_collision
AR00690,ddf_name_collision;tail_sensitivity_lost_name_collision
AR00722,ddf_name_collision;tail_sensitivity_lost_name_collision
AR00728,ddf_name_collision
AR00744,ddf_name_collision
AR00754,ddf_name_collision;tail_sensitivity_lost_name_collision
AR00765,ddf_name_collision;tail_sensitivity_lost_name_collision
AR00806,ddf_name_collision;tail_sensitivity_lost_name_collision
AR00818,ddf_name_collision
AR00865,ddf_name_collision;tail_sensitivity_lost_name_collision
AR00886,ddf_name_collision
AR00902,ddf_name_collision
AR00918,ddf_name_collision;tail_sensitivity_lost_name_collision
AR00943,ddf_name_collision;tail_sensitivity_lost_name_collision
AR00944,ddf_name_collision;tail_sensitivity_lost_name_collision
AR00961,ddf_name_collision;tail_sensitivity_lost_name_collision
AR00969,ddf_name_collision
AR00980,ddf_name_collision;tail_sensitivity_lost_name_collision
AR01017,ddf_name_collision;tail_sensitivity_lost_name_collision
AR01066,ddf_name_collision
AR01067,ddf_name_collision
AR01070,ddf_name_collision;tail_sensitivity_lost_name_collision
AR01106,ddf_name_collision;tail_sensitivity_lost_name_collision
AR01125,ddf_name_collision;tail_sensitivity_lost_name_collision
AR01131,ddf_name_collision
AR01198,ddf_name_collision
AR01209,ddf_name_collision;tail_sensitivity_lost_name_collision
AR01242,ddf_name_collision
AR01260,ddf_name_collision;tail_sensitivity_lost_name_collision
AR01422,ddf_name_collision;tail_sensitivity_lost_name_collision
AR01438,ddf_name_collision
AR01440,ddf_name_collision;tail_sensitivity_lost_name_collision
AR01460,ddf_name_collision;tail_sensitivity_lost_name_collision
AR01478,ddf_name_collision;tail_sensitivity_lost_name_collision
AR01487,ddf_name_collision
AR01492,ddf_name_collision;tail_sensitivity_lost_name_collision
AR01516,ddf_name_collision;tail_sensitivity_lost_name_collision
AR01528,ddf_name_collision
AR83002,ddf_name_collision
AZ00008,ddf_name_collision;tail_sensitivity_lost_name_collision
AZ00019,ddf_name_collision;tail_sensitivity_lost_name_collision
AZ00056,ddf_name_collision
AZ00061,ddf_name_collision;tail_sensitivity_lost_name_collision
AZ00100,ddf_name_collision
AZ00106,ddf_name_collision;tail_sensitivity_lost_name_collision
AZ00127,ddf_name_collision;tail_sensitivity_lost_name_collision
AZ00138,ddf_name_collision;tail_sensitivity_lost_name_collision
AZ00139,ddf_name_collision
AZ00164,ddf_name_collision
AZ00168,ddf_name_collision
AZ00214,ddf_name_collision
AZ00218,ddf_name_collision
AZ00231,ddf_name_collision;tail_sensitivity_lost_name_collision
AZ00306,ddf_name_collision;tail_sensitivity_lost_name_collision
AZ10002,synthetic_cloud_unauditable
AZ10008,synthetic_cloud_unauditable
AZ10307,synthetic_cloud_unauditable
AZ10309,synthetic_cloud_unauditable
AZ10310,ddf_name_collision;tail_sensitivity_lost_name_collision
AZ10312,ddf_name_collision;tail_sensitivity_lost_name_collision
AZ10317,synthetic_cloud_unauditable
AZ10381,ddf_name_collision
AZ10436,synthetic_cloud_unauditable
AZ82203,synthetic_cloud_unauditable
AZ82929,synthetic_cloud_unauditable
CA00005,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00020,ddf_name_collision
CA00035,synthetic_cloud_unauditable
CA00037,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00044,synthetic_cloud_unauditable
CA00081,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00083,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00098,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00114,ddf_name_collision
CA00116,ddf_name_collision
CA00123,synthetic_cloud_unauditable
CA00125,ddf_name_collision;synthetic_cloud_unauditable;tail_sensitivity_lost_name_collision
CA00156,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00162,ddf_name_collision
CA00173,synthetic_cloud_unauditable
CA00183,ddf_name_collision
CA00216,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00240,synthetic_cloud_unauditable
CA00252,ddf_name_collision
CA00260,ddf_name_collision
CA00268,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00274,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00281,synthetic_cloud_unauditable
CA00288,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00290,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00292,ddf_name_collision
CA00294,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00299,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00327,synthetic_cloud_unauditable
CA00328,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00330,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00346,ddf_name_collision
CA00347,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00366,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00368,ddf_name_collision
CA00374,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00377,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00381,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00384,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00398,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00406,ddf_name_collision
CA00425,ddf_name_collision
CA00433,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00458,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00469,ddf_name_collision
CA00480,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00482,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00489,ddf_name_collision
CA00495,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00498,ddf_name_collision
CA00500,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00508,ddf_name_collision
CA00509,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00519,ddf_name_collision
CA00523,ddf_name_collision
CA00531,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00533,ddf_name_collision
CA00534,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00541,ddf_name_collision
CA00571,ddf_name_collision
CA00579,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00597,ddf_name_collision
CA00601,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00618,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00628,ddf_name_collision
CA00630,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00631,ddf_name_collision
CA00652,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00656,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00688,ddf_name_collision
CA00690,ddf_name_collision
CA00694,ddf_name_collision
CA00717,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00721,ddf_name_collision
CA00726,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00736,ddf_name_collision
CA00757,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00758,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00759,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00760,ddf_name_collision
CA00776,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00782,ddf_name_collision
CA00785,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00800,ddf_name_collision
CA00810,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00811,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00812,synthetic_cloud_unauditable
CA00813,synthetic_cloud_unauditable
CA00827,ddf_name_collision
CA00828,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00838,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00839,ddf_name_collision
CA00863,synthetic_cloud_unauditable
CA00869,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00873,ddf_name_collision
CA00878,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00888,ddf_name_collision
CA00894,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00905,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00910,ddf_name_collision
CA00911,synthetic_cloud_unauditable
CA00928,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00945,ddf_name_collision
CA00946,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00953,ddf_name_collision
CA00955,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00965,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00994,ddf_name_collision;tail_sensitivity_lost_name_collision
CA00997,ddf_name_collision;tail_sensitivity_lost_name_collision
CA01050,ddf_name_collision;tail_sensitivity_lost_name_collision
CA01107,synthetic_cloud_unauditable
CA01112,ddf_name_collision
CA01128,ddf_name_collision
CA01147,ddf_name_collision
CA01179,ddf_name_collision;tail_sensitivity_lost_name_collision
CA01209,ddf_name_collision
CA01212,ddf_name_collision
CA01213,ddf_name_collision;tail_sensitivity_lost_name_collision
CA01223,ddf_name_collision
CA01224,ddf_name_collision;tail_sensitivity_lost_name_collision
CA01282,ddf_name_collision;tail_sensitivity_lost_name_collision
CA01354,ddf_name_collision
CA01392,ddf_name_collision;tail_sensitivity_lost_name_collision
CA01405,ddf_name_collision;tail_sensitivity_lost_name_collision
CA01410,synthetic_cloud_unauditable
CA01468,ddf_name_collision
CA10022,synthetic_cloud_unauditable
CA10106,synthetic_cloud_unauditable
CA10107,ddf_name_collision;tail_sensitivity_lost_name_collision
CA10109,synthetic_cloud_unauditable
CA10112,synthetic_cloud_unauditable
CA10119,ddf_name_collision
CA10123,ddf_name_collision;tail_sensitivity_lost_name_collision
CA10139,synthetic_cloud_unauditable
CA10141,synthetic_cloud_unauditable
CA10148,synthetic_cloud_unauditable
CA10154,synthetic_cloud_unauditable
CA10162,synthetic_cloud_unauditable
CA10165,ddf_name_collision
CA10170,synthetic_cloud_unauditable
CA10183,synthetic_cloud_unauditable
CA10186,synthetic_cloud_unauditable
CA10196,synthetic_cloud_unauditable
CA10197,synthetic_cloud_unauditable
CA10222,ddf_name_collision
CA10225,ddf_name_collision
CA10232,ddf_name_collision;tail_sensitivity_lost_name_collision
CA10233,ddf_name_collision;tail_sensitivity_lost_name_collision
CA10239,ddf_name_collision;tail_sensitivity_lost_name_collision
CA10243,ddf_name_collision
CA10246,synthetic_cloud_unauditable
CA10315,ddf_name_collision
CA10325,ddf_name_collision
CA10327,ddf_name_collision;tail_sensitivity_lost_name_collision
CA10330,ddf_name_collision;tail_sensitivity_lost_name_collision
CA10338,ddf_name_collision;tail_sensitivity_lost_name_collision
CA82460,ddf_name_collision
CA82492,ddf_name_collision;tail_sensitivity_lost_name_collision
CA82497,ddf_name_collision
CA82503,ddf_name_collision
CA82519,ddf_name_collision
CO00004,ddf_name_collision;tail_sensitivity_lost_name_collision
CO00012,ddf_name_collision
CO00016,ddf_name_collision;tail_sensitivity_lost_name_collision
CO00130,ddf_name_collision;tail_sensitivity_lost_name_collision
CO00131,ddf_name_collision
CO00133,ddf_name_collision;tail_sensitivity_lost_name_collision
CO00139,ddf_name_collision;tail_sensitivity_lost_name_collision
CO00148,ddf_name_collision;tail_sensitivity_lost_name_collision
CO00150,ddf_name_collision;tail_sensitivity_lost_name_collision
CO00182,ddf_name_collision;tail_sensitivity_lost_name_collision
CO00184,ddf_name_collision;tail_sensitivity_lost_name_collision
CO00193,ddf_name_collision;tail_sensitivity_lost_name_collision
CO00194,ddf_name_collision;tail_sensitivity_lost_name_collision
CO00200,ddf_name_collision;tail_sensitivity_lost_name_collision
CO00203,ddf_name_collision;tail_sensitivity_lost_name_collision
CO00224,ddf_name_collision;tail_sensitivity_lost_name_collision
CO00228,ddf_name_collision
CO00241,ddf_name_collision;tail_sensitivity_lost_name_collision
