facility_id,name_bor,name_nid,state,latitude,longitude,elevation_m_bor,nid_storage_acreft,duration,match_key,coord_shift_km,cohort,band_bound,nid_rank,est_completed_utc,fullT_resolved,n_stations_bor_pre,n_stations_nid,H1_bor_pre,H1_nid,chosen_dist_bor_pre,chosen_dist_nid,depth_nid_T100,depth_bor_pre_T100,depth_bor_post_T100,depth_nid_T10000,depth_bor_pre_T10000,depth_bor_post_T10000,depth_10k_nid_diag,depth_10k_bor_pre_diag,reldiff_T100_vs_pre_pct,reldiff_T10000_vs_pre_pct,reldiff_T100_vs_post_pct,reldiff_T10000_vs_post_pct,reldiff_T10000_diag_vs_pre_pct,scale_ratio_pre,shape_spread_pre_pct,scale_ratio_post,shape_spread_post_pct,exact_all_T_vs_bor_pre
AZ10315,LAGUNA DIVERSION,LAGUNA DIVERSION,AZ,32.8237,-114.4947,64,1600,72h,nid_facility_id,0.0,wide_band,True,9085.0,2026-08-13 13:25:25.849999872+00:00,True,8,43,-0.339,0.685,GEV,GLO,109.9,169.6,106.44,377.88,333.67,209.41,377.9,333.7,-35.2005,13.2496,3.2507,80.4498,13.2454,0.6721,96.1157,1.0709,96.1012,False
AZ10316,GRANITE REEF DIVERSION,GRANITE REEF DIVERSION,AZ,33.5157,-111.6916,441,700,24h,nid_facility_id,0.0,wide_band,True,15026.0,2026-08-14 12:02:49.960000+00:00,True,48,42,0.513,0.948,GLO,GEV,102.55,126.52,95.89,195.33,291.9,221.23,195.3,291.9,-18.9456,-33.0832,6.9455,-11.7073,-33.0935,0.7778,19.0286,1.0263,19.0175,False
AZ10316,GRANITE REEF DIVERSION,GRANITE REEF DIVERSION,AZ,33.5157,-111.6916,441,700,72h,nid_facility_id,0.0,wide_band,True,15026.0,2026-08-14 12:02:49.960000+00:00,True,48,48,0.674,0.517,GEV,GNO,139.09,177.49,126.13,264.71,326.41,231.96,264.7,326.4,-21.635,-18.9026,10.2751,14.1188,-18.9032,0.7863,13.1877,1.1065,13.1847,False
AZ10317,THEODORE ROOSEVELT,THEODORE ROOSEVELT,AZ,33.6715,-111.1615,790,3432408,24h,nid_facility_id,0.0,narrow_band,,37.0,,True,47,47,-0.088,-0.088,GLO,GLO,127.53,127.53,112.7,303.0,303.0,267.77,303.0,303.0,0.0,0.0,13.1588,13.1568,0.0,1.0,0.0,1.1316,0.0245,True
AZ10317,THEODORE ROOSEVELT,THEODORE ROOSEVELT,AZ,33.6715,-111.1615,790,3432408,72h,nid_facility_id,0.0,narrow_band,,37.0,,True,47,47,0.357,0.357,GEV,GEV,174.68,174.68,155.15,322.8,322.8,286.7,322.8,322.8,0.0,0.0,12.5878,12.5916,0.0,1.0,0.0,1.1259,0.0092,True
AZ10318,STEWART MOUNTAIN,STEWART MOUNTAIN,AZ,33.5665,-111.5359,543,70070,24h,nid_facility_id,0.0,wide_band,True,1074.0,2026-08-12 04:19:44.100000+00:00,True,48,44,0.73,0.985,GLO,GEV,101.7,127.14,101.95,176.48,294.54,236.17,176.5,294.5,-20.0094,-40.0828,-0.2452,-25.2742,-40.0679,0.7785,29.6241,0.9708,29.6245,False
AZ10318,STEWART MOUNTAIN,STEWART MOUNTAIN,AZ,33.5665,-111.5359,543,70070,72h,nid_facility_id,0.0,wide_band,True,1074.0,2026-08-12 04:19:44.100000+00:00,True,48,48,0.836,0.715,GEV,GNO,143.64,176.57,138.99,266.45,326.15,256.74,266.5,326.2,-18.6498,-18.3045,3.3456,3.782,-18.3017,0.8142,6.7733,1.0343,6.7719,False
AZ82914,REACH 11 DETENTION DIKE 4,REACH 11 DETENTION DIKE 4,AZ,33.628,-111.8711,448,11400,24h,nid_facility_id,0.0,wide_band,True,2776.0,2026-08-12 14:27:08.320000+00:00,True,47,44,0.403,0.686,GLO,GEV,106.64,128.51,97.04,203.38,308.21,232.71,203.4,308.2,-17.0181,-34.0125,9.8928,-12.6037,-34.0039,0.7976,22.9644,1.0564,22.9569,False
AZ82914,REACH 11 DETENTION DIKE 4,REACH 11 DETENTION DIKE 4,AZ,33.628,-111.8711,448,11400,72h,nid_facility_id,0.0,wide_band,True,2776.0,2026-08-12 14:27:08.320000+00:00,True,49,49,1.051,0.322,GEV,GNO,140.79,179.3,123.8,266.79,332.2,229.37,266.8,332.2,-21.478,-19.6899,13.7237,16.3143,-19.6869,0.7872,11.5127,1.1401,11.5033,False
AZ82929,NEW WADDELL,NEW WADDELL,AZ,33.8464,-112.2663,514,1063163,24h,nid_facility_id,0.0,narrow_band,,133.0,,True,50,50,0.889,0.889,GEV,GEV,125.24,125.24,96.51,222.82,222.82,171.71,222.8,222.8,0.0,0.0,29.7689,29.7653,0.0,1.0,0.0,1.2977,0.0102,True
AZ82929,NEW WADDELL,NEW WADDELL,AZ,33.8464,-112.2663,514,1063163,72h,nid_facility_id,0.0,narrow_band,,133.0,,True,50,50,0.82,0.82,GEV,GEV,174.73,174.73,128.56,321.02,321.02,236.19,321.0,321.0,0.0,0.0,35.9132,35.916,0.0,1.0,0.0,1.3592,0.0092,True
