facility_id,reasons
AL00772,ddf_name_collision;ddf_rowcount_bad
AL00780,ddf_name_collision;ddf_rowcount_bad
AL00785,ddf_name_collision;ddf_rowcount_bad
AL00827,ddf_name_collision;ddf_rowcount_bad;tail_sensitivity_lost_name_collision
AL00830,ddf_name_collision;ddf_rowcount_bad
AL00832,ddf_name_collision;ddf_rowcount_bad
AL00833,ddf_name_collision;ddf_rowcount_bad
AL00834,ddf_name_collision;ddf_rowcount_bad
AL00835,ddf_name_collision;ddf_rowcount_bad
AL00852,ddf_name_collision;ddf_rowcount_bad
AL00855,ddf_name_collision;ddf_rowcount_bad
AL00864,ddf_name_collision
AL00874,ddf_name_collision;ddf_rowcount_bad
AL00880,ddf_name_collision;ddf_rowcount_bad
AL00881,ddf_name_collision;ddf_rowcount_bad
AL00898,ddf_name_collision;ddf_rowcount_bad
AL00899,ddf_name_collision;ddf_rowcount_bad
AL00932,ddf_name_collision;ddf_rowcount_bad
AL00933,ddf_name_collision;ddf_rowcount_bad
AL00934,ddf_name_collision;ddf_rowcount_bad;tail_sensitivity_lost_name_collision
AL00935,ddf_name_collision;ddf_rowcount_bad
AL00937,ddf_name_collision;ddf_rowcount_bad
AL00944,ddf_name_collision;ddf_rowcount_bad
AL00945,ddf_name_collision
AL00949,ddf_name_collision;ddf_rowcount_bad
AL00951,ddf_name_collision;ddf_rowcount_bad
AL00959,ddf_name_collision;ddf_rowcount_bad
AL00962,ddf_name_collision;ddf_rowcount_bad;tail_sensitivity_lost_name_collision
AL00975,ddf_name_collision;ddf_rowcount_bad
AL00976,ddf_name_collision;ddf_rowcount_bad;tail_sensitivity_lost_name_collision
AL00979,ddf_name_collision;ddf_rowcount_bad
AL00983,ddf_name_collision;ddf_rowcount_bad
AL00988,ddf_name_collision;ddf_rowcount_bad
AL00989,ddf_name_collision;ddf_rowcount_bad
AL00990,ddf_name_collision;ddf_rowcount_bad
AL01006,ddf_name_collision;ddf_rowcount_bad
AL01013,ddf_name_collision;ddf_rowcount_bad
AL01023,ddf_name_collision;ddf_rowcount_bad;tail_sensitivity_lost_name_collision
AL01034,ddf_name_collision;ddf_rowcount_bad
AL01036,ddf_name_collision;ddf_rowcount_bad
AL01041,ddf_name_collision;ddf_rowcount_bad
AL01042,ddf_name_collision;ddf_rowcount_bad
AL01043,ddf_name_collision;ddf_rowcount_bad
AL01045,ddf_name_collision;ddf_rowcount_bad
AL01046,ddf_name_collision;ddf_rowcount_bad
AL01047,ddf_name_collision;ddf_rowcount_bad
AL01059,ddf_name_collision;ddf_rowcount_bad
AL01067,ddf_name_collision;ddf_rowcount_bad
AL01071,ddf_name_collision;ddf_rowcount_bad
AL01084,ddf_name_collision;ddf_rowcount_bad
AL01100,ddf_name_collision;ddf_rowcount_bad
AL01101,ddf_name_collision;ddf_rowcount_bad
AL01103,ddf_name_collision;ddf_rowcount_bad
AL01106,ddf_name_collision;ddf_rowcount_bad
AL01107,ddf_name_collision;ddf_rowcount_bad
AL01112,ddf_name_collision;ddf_rowcount_bad
AL01118,ddf_name_collision;ddf_rowcount_bad
AL01121,ddf_name_collision;ddf_rowcount_bad
AL01131,ddf_name_collision;ddf_rowcount_bad
AL01132,ddf_name_collision;ddf_rowcount_bad
AL01133,ddf_name_collision;ddf_rowcount_bad
AL01135,ddf_name_collision;ddf_rowcount_bad
AL01138,ddf_name_collision
AL01142,ddf_name_collision;ddf_rowcount_bad
AL01144,ddf_name_collision;ddf_rowcount_bad
AL01145,ddf_name_collision;ddf_rowcount_bad
AL01149,ddf_name_collision;ddf_rowcount_bad;tail_sensitivity_lost_name_collision
AL01150,ddf_name_collision;ddf_rowcount_bad;tail_sensitivity_lost_name_collision
AL01151,ddf_name_collision;ddf_rowcount_bad
AL01161,ddf_name_collision;ddf_rowcount_bad
AL01171,ddf_name_collision;ddf_rowcount_bad;tail_sensitivity_lost_name_collision
AL01176,ddf_name_collision
AL01185,ddf_name_collision
AL01210,ddf_name_collision;ddf_rowcount_bad
AL01215,ddf_name_collision;ddf_rowcount_bad
AL01220,ddf_name_collision;ddf_rowcount_bad
AL01230,ddf_name_collision;ddf_rowcount_bad
AL01234,ddf_name_collision;ddf_rowcount_bad
AL01252,ddf_name_collision;ddf_rowcount_bad
AL01267,ddf_name_collision;ddf_rowcount_bad;tail_sensitivity_lost_name_collision
AL01280,ddf_name_collision;ddf_rowcount_bad;tail_sensitivity_lost_name_collision
AL01284,ddf_name_collision;ddf_rowcount_bad
AL01320,ddf_name_collision;ddf_rowcount_bad;tail_sensitivity_lost_name_collision
AL01326,ddf_name_collision;ddf_rowcount_bad
AL01340,ddf_name_collision;ddf_rowcount_bad
AL01357,ddf_name_collision;ddf_rowcount_bad
AL01376,ddf_name_collision;ddf_rowcount_bad
AL01389,ddf_name_collision;ddf_rowcount_bad
AL01391,ddf_name_collision;ddf_rowcount_bad
AL01398,ddf_name_collision;ddf_rowcount_bad
AL01401,ddf_name_collision;ddf_rowcount_bad
AL01403,ddf_name_collision;ddf_rowcount_bad
AL01415,old_manifest_vintage
AL01417,narrow_elevation_band;old_manifest_vintage;pre_centralization_no_aux;synthetic_cloud_unauditable
AL01418,ddf_name_collision;ddf_rowcount_bad;synthetic_purged_rerun_ok;tail_sensitivity_lost_name_collision
AL01420,narrow_elevation_band;old_manifest_vintage;pre_centralization_no_aux;synthetic_cloud_unauditable
AL01423,ddf_name_collision;synthetic_purged_rerun_ok;tail_sensitivity_lost_name_collision
AL01424,ddf_name_collision;ddf_rowcount_bad;synthetic_purged_rerun_ok;tail_sensitivity_lost_name_collision
AL01425,ddf_name_collision;ddf_rowcount_bad;narrow_elevation_band;old_manifest_vintage;pre_centralization_no_aux;synthetic_cloud_unauditable;tail_sensitivity_lost_name_collision
AL01427,narrow_elevation_band;old_manifest_vintage;pre_centralization_no_aux;synthetic_cloud_unauditable
AL01432,narrow_elevation_band;old_manifest_vintage;pre_centralization_no_aux;synthetic_cloud_unauditable
AL01435,narrow_elevation_band;old_manifest_vintage;pre_centralization_no_aux;synthetic_cloud_unauditable
AL01441,ddf_name_collision;ddf_rowcount_bad
AL01443,ddf_name_collision;ddf_rowcount_bad
AL01453,ddf_name_collision;ddf_rowcount_bad
AL01476,ddf_name_collision;ddf_rowcount_bad
AL01478,ddf_name_collision;ddf_rowcount_bad
AL01484,ddf_name_collision;ddf_rowcount_bad;tail_sensitivity_lost_name_collision
AL01489,ddf_name_collision;ddf_rowcount_bad
AL01497,ddf_name_collision;ddf_rowcount_bad
AL01500,ddf_name_collision;ddf_rowcount_bad
AL01501,ddf_name_collision;ddf_rowcount_bad
AL01511,ddf_name_collision;ddf_rowcount_bad
AL01526,ddf_name_collision
AL01531,ddf_name_collision;ddf_rowcount_bad
AL01540,ddf_name_collision;ddf_rowcount_bad
AL01575,ddf_name_collision;ddf_rowcount_bad
AL01577,ddf_name_collision;ddf_rowcount_bad
AL01580,ddf_name_collision;ddf_rowcount_bad
AL01581,ddf_name_collision;ddf_rowcount_bad
AL01582,ddf_name_collision;ddf_rowcount_bad
AL01583,ddf_name_collision;ddf_rowcount_bad
AL01587,ddf_name_collision;ddf_rowcount_bad
AL01588,ddf_name_collision;ddf_rowcount_bad
AL01591,ddf_name_collision;ddf_rowcount_bad
AL01595,ddf_name_collision;ddf_rowcount_bad
AL01597,ddf_name_collision;ddf_rowcount_bad
AL01600,ddf_name_collision;ddf_rowcount_bad
AL01602,ddf_name_collision;ddf_rowcount_bad
AL01622,ddf_name_collision;tail_sensitivity_lost_name_collision
AL01668,ddf_name_collision;ddf_rowcount_bad
AL01689,ddf_name_collision;ddf_rowcount_bad
AL01700,ddf_name_collision;ddf_rowcount_bad
AL01703,ddf_name_collision;ddf_rowcount_bad
AL01704,ddf_name_collision;ddf_rowcount_bad
AL01708,ddf_name_collision;ddf_rowcount_bad
AL01710,ddf_name_collision;ddf_rowcount_bad
AL01713,ddf_name_collision;ddf_rowcount_bad
