"config","site","ok","message"
"./config/facilities/KS00024.yml","NORTON",TRUE,"ok"
"./config/facilities/ID00276.yml","DEER FLAT UPPER",TRUE,"ok"
"./config/facilities/UT10136.yml","STARVATION",TRUE,"ok"
"./config/facilities/KS00023.yml","LOVEWELL",TRUE,"ok"
"./config/facilities/WY01290.yml","ALCOVA",TRUE,"ok"
"./config/facilities/AZ10312.yml","PARKER",TRUE,"ok"
"./config/facilities/NE02287.yml","VIRGINIA SMITH DAM",TRUE,"ok"
"./config/facilities/WA00265.yml","KEECHELUS DAM",TRUE,"ok"
"./config/facilities/CO01659.yml","HORSETOOTH",TRUE,"ok"
"./config/facilities/ID00272.yml","ISLAND PARK",TRUE,"ok"
"./config/facilities/OK02500.yml","LAKE ALTUS",TRUE,"ok"
"./config/facilities/WY01378.yml","BULL LAKE",TRUE,"ok"
"./config/facilities/NE01076.yml","RED WILLOW",TRUE,"ok"
"./config/facilities/CO01658.yml","GREEN MOUNTAIN",TRUE,"ok"
"./config/facilities/CA10159.yml","IMPERIAL DIVERSION",TRUE,"ok"
"./config/facilities/UT10117.yml","BOR DEER CREEK",TRUE,"ok"
"./config/facilities/CO01669.yml","SUGARLOAF",TRUE,"ok"
"./config/facilities/CO02045.yml","TWIN LAKES",TRUE,"ok"
"./config/facilities/SD01139.yml","PACTOLA DIKE #2",TRUE,"ok"
"./config/facilities/CO01695.yml","VALLECITO",TRUE,"ok"
"./config/facilities/OR00584.yml","GERBER RESERVOR",TRUE,"ok"
"./config/facilities/CO01689.yml","MORROW POINT",TRUE,"ok"
"./config/facilities/CO01664.yml","RUEDI",TRUE,"ok"
"./config/facilities/CO00151.yml","TAYLOR PARK",TRUE,"ok"
"./config/facilities/CO01650.yml","CARTER LAKE DAM NO. 1",TRUE,"ok"
"./config/facilities/UT10132.yml","BOR PINEVIEW",TRUE,"ok"
"./config/facilities/OR00577.yml","MASON DAM",TRUE,"ok"
"./config/facilities/ID00344.yml","RIRIE",TRUE,"ok"
"./config/facilities/NE01070.yml","ENDERS DAM",TRUE,"ok"
"./config/facilities/CO02706.yml","RIDGWAY",TRUE,"ok"
"./config/facilities/UT10133.yml","SCOFIELD",TRUE,"ok"
"./config/facilities/MT00574.yml","NELSON DIKE DA",TRUE,"ok"
"./config/facilities/NE01074.yml","MERRITT DAM",TRUE,"ok"
"./config/facilities/OR00580.yml","HOWARD PRAIRIE",TRUE,"ok"
"./config/facilities/WA00269.yml","PINTO DAM",TRUE,"ok"
"./config/facilities/ND00149.yml","HEART BUTTE",TRUE,"ok"
"./config/facilities/UT10131.yml","BOR WANSHIP",TRUE,"ok"
"./config/facilities/UT10120.yml","ECHO",TRUE,"ok"
"./config/facilities/CO01671.yml","PLATORO",TRUE,"ok"
"./config/facilities/UT10124.yml","JOES VALLEY",TRUE,"ok"
"./config/facilities/AZ10318.yml","STEWART MOUNTAIN",TRUE,"ok"
"./config/facilities/OR00279.yml","CRANE PRAIRIE",TRUE,"ok"
"./config/facilities/OR00589.yml","AGENCY VALLEY",TRUE,"ok"
"./config/facilities/OR00098.yml","OCHOCO",TRUE,"ok"
"./config/facilities/CA10171.yml","ONEILL FOREBAY DIKE",TRUE,"ok"
"./config/facilities/OR10020.yml","SCOGGINS",TRUE,"ok"
"./config/facilities/NE01075.yml","MINATARE",TRUE,"ok"
"./config/facilities/OR00685.yml","SCOGGINS",TRUE,"ok"
"./config/facilities/UT10119.yml","EAST CANYON",TRUE,"ok"
"./config/facilities/AZ10313.yml","MORMON FLAT",TRUE,"ok"
"./config/facilities/WY01387.yml","BIG SANDY",TRUE,"ok"
"./config/facilities/CA10145.yml","EAST PARK DAM",TRUE,"ok"
"./config/facilities/OR00590.yml","COLD SPRINGS RES. (USBR)",TRUE,"ok"
"./config/facilities/CA10167.yml","LOS BANOS CREEK DETENTION DAM",TRUE,"ok"
"./config/facilities/CA10194.yml","STONY GORGE",TRUE,"ok"
"./config/facilities/WA00128.yml","MOSES LAKE SOUTH DAM",TRUE,"ok"
"./config/facilities/UT10128.yml","MOON LAKE",TRUE,"ok"
"./config/facilities/NE01069.yml","BOX BUTTE",TRUE,"ok"
"./config/facilities/MT00575.yml","PISHKUN DIKE 1",TRUE,"ok"
"./config/facilities/WY01293.yml","GUERNSEY",TRUE,"ok"
"./config/facilities/NE02342.yml","DAVIS CREEK",TRUE,"ok"
"./config/facilities/SD01138.yml","DEERFIELD",TRUE,"ok"
"./config/facilities/CA10135.yml","BOCA",TRUE,"ok"
"./config/facilities/MT00564.yml","COMO",TRUE,"ok"
"./config/facilities/UT10113.yml","BOR STEINAKER",TRUE,"ok"
"./config/facilities/CO01697.yml","VEGA",TRUE,"ok"
"./config/facilities/MT00577.yml","WILLOW CREEK BOR MT - DIKE 5",TRUE,"ok"
"./config/facilities/OR00578.yml","BULLY CREEK",TRUE,"ok"
"./config/facilities/ND00148.yml","DICKINSON DAM",TRUE,"ok"
"./config/facilities/WY01390.yml","MEEKS CABIN",TRUE,"ok"
"./config/facilities/WA00263.yml","BUMPING LAKE DAM",TRUE,"ok"
"./config/facilities/WY01381.yml","PILOT BUTTE",TRUE,"ok"
"./config/facilities/UT00608.yml","UPPER STILLWATER",TRUE,"ok"
"./config/facilities/UT82901.yml","RED FLEET",TRUE,"ok"
"./config/facilities/UT10155.yml","BOR RED FLEET",TRUE,"ok"
