"site","site_id","duration","dist","T","growth_factor","depth_mm"
"SANFORD","TX00023","24h","GNO",10000,4.0113,256.57
"SANFORD","TX00023","24h","GEV",10000,4.1641,266.34
"SANFORD","TX00023","24h","GLO",10000,6.1828,395.46
"SANFORD","TX00023","72h","GPA",10000,2.2273,173.09
"SANFORD","TX00023","72h","PE3",10000,3.3753,262.31
"SANFORD","TX00023","72h","GNO",10000,3.7341,290.2
"SANFORD","TX00023","72h","GEV",10000,3.7501,291.44
"SANFORD","TX00023","72h","GLO",10000,5.5941,434.74
"NEW MELONES","CA10246","24h","GPA",10000,2.4374,208.76
"NEW MELONES","CA10246","24h","PE3",10000,3.5244,301.85
"NEW MELONES","CA10246","24h","GNO",10000,4.0614,347.84
"NEW MELONES","CA10246","24h","GEV",10000,4.3003,368.31
"NEW MELONES","CA10246","24h","GLO",10000,6.3416,543.14
"NEW MELONES","CA10246","72h","GPA",10000,2.7067,367.44
"NEW MELONES","CA10246","72h","PE3",10000,3.9284,533.3
"NEW MELONES","CA10246","72h","GNO",10000,4.5925,623.46
"NEW MELONES","CA10246","72h","GEV",10000,4.9309,669.4
"NEW MELONES","CA10246","72h","GLO",10000,7.3175,993.39
"B. F. SISK","CA10183","24h","GPA",10000,2.3743,206.21
"B. F. SISK","CA10183","24h","PE3",10000,3.4275,297.68
"B. F. SISK","CA10183","24h","GNO",10000,3.9353,341.78
"B. F. SISK","CA10183","24h","GEV",10000,4.1525,360.65
"B. F. SISK","CA10183","24h","GLO",10000,6.1115,530.79
"B. F. SISK","CA10183","72h","GPA",10000,2.7147,371.41
"B. F. SISK","CA10183","72h","PE3",10000,3.8902,532.23
"B. F. SISK","CA10183","72h","GNO",10000,4.5766,626.14
"B. F. SISK","CA10183","72h","GEV",10000,4.9569,678.18
"B. F. SISK","CA10183","72h","GLO",10000,7.3257,1002.26
"NAVAJO","NM00120","24h","GPA",10000,2.1523,72.56
"NAVAJO","NM00120","24h","PE3",10000,3.2157,108.41
"NAVAJO","NM00120","24h","GNO",10000,3.56,120.02
"NAVAJO","NM00120","24h","GEV",10000,3.5882,120.97
"NAVAJO","NM00120","24h","GLO",10000,5.3138,179.14
"NAVAJO","NM00120","72h","GPA",10000,1.9118,85.81
"NAVAJO","NM00120","72h","PE3",10000,2.8881,129.64
"NAVAJO","NM00120","72h","GEV",10000,2.9746,133.52
"NAVAJO","NM00120","72h","GNO",10000,3.0835,138.41
"NAVAJO","NM00120","72h","GLO",10000,4.3817,196.68
"MONTICELLO","CA10170","24h","GPA",10000,2.2661,265.65
"MONTICELLO","CA10170","24h","PE3",10000,3.3132,388.41
"MONTICELLO","CA10170","24h","GNO",10000,3.7487,439.46
"MONTICELLO","CA10170","24h","GEV",10000,3.8854,455.48
"MONTICELLO","CA10170","24h","GLO",10000,5.7284,671.54
"MONTICELLO","CA10170","72h","GPA",10000,2.6519,517.57
"MONTICELLO","CA10170","72h","PE3",10000,3.8128,744.13
"MONTICELLO","CA10170","72h","GNO",10000,4.4637,871.17
"MONTICELLO","CA10170","72h","GEV",10000,4.8082,938.39
"MONTICELLO","CA10170","72h","GLO",10000,7.1063,1386.9
