"site","duration","return_period_yr","AEP","depth_mm","depth_lo_mm","depth_hi_mm","rel_rmse"
"HOOVER","24h",2,0.5,31.49,31.17,32.2,0.011
"HOOVER","24h",5,0.2,44.92,44.65,45.37,0.005
"HOOVER","24h",10,0.1,54.77,53.89,55.5,0.009
"HOOVER","24h",25,0.04,69.14,66.64,70.7,0.019
"HOOVER","24h",50,0.02,81.6,77.25,84.08,0.028
"HOOVER","24h",100,0.01,95.84,88.88,99.69,0.037
"HOOVER","24h",200,0.005,112.2,101.74,117.68,0.047
"HOOVER","24h",500,0.002,137.71,121.38,146.3,0.06
"HOOVER","24h",1000,0.001,160.48,138.32,171.98,0.07
"HOOVER","24h",2000,5e-04,186.78,157.05,202.28,0.081
"HOOVER","24h",5000,2e-04,227.91,185.63,250.33,0.095
"HOOVER","24h",10000,1e-04,264.68,210.34,294.17,0.106
"HOOVER","72h",2,0.5,38.11,37.66,38.86,0.011
"HOOVER","72h",5,0.2,54.54,54.15,55.12,0.006
"HOOVER","72h",10,0.1,66.25,65.2,67.2,0.009
"HOOVER","72h",25,0.04,82.93,80.34,85.06,0.018
"HOOVER","72h",50,0.02,97.08,92.52,100.4,0.026
"HOOVER","72h",100,0.01,112.95,106.04,117.75,0.035
"HOOVER","72h",200,0.005,130.83,120.59,137.78,0.044
"HOOVER","72h",500,0.002,158.12,142.21,169.54,0.056
"HOOVER","72h",1000,0.001,181.97,160.45,197.07,0.065
"HOOVER","72h",2000,5e-04,209.01,180.95,229.02,0.075
"HOOVER","72h",5000,2e-04,250.39,211.56,278.2,0.089
"HOOVER","72h",10000,1e-04,286.6,236.83,321.77,0.099
"GLEN CANYON","24h",2,0.5,29.36,29.17,29.66,0.006
"GLEN CANYON","24h",5,0.2,40.65,40.47,40.89,0.003
"GLEN CANYON","24h",10,0.1,48.63,48.14,48.98,0.006
"GLEN CANYON","24h",25,0.04,59.31,57.98,60.22,0.012
"GLEN CANYON","24h",50,0.02,67.7,65.52,69.12,0.018
"GLEN CANYON","24h",100,0.01,76.44,73.16,78.55,0.024
"GLEN CANYON","24h",200,0.005,85.58,80.93,88.56,0.03
"GLEN CANYON","24h",500,0.002,98.32,91.55,102.71,0.039
"GLEN CANYON","24h",1000,0.001,108.49,99.73,114.37,0.046
"GLEN CANYON","24h",2000,5e-04,119.16,108.11,126.7,0.053
"GLEN CANYON","24h",5000,2e-04,134.07,119.54,144.21,0.063
"GLEN CANYON","24h",10000,1e-04,145.98,128.44,158.41,0.07
"GLEN CANYON","72h",2,0.5,37.24,37,37.8,0.008
"GLEN CANYON","72h",5,0.2,50.81,50.67,51.17,0.004
"GLEN CANYON","72h",10,0.1,61.07,60.33,61.64,0.007
"GLEN CANYON","72h",25,0.04,76.41,74.28,77.67,0.015
"GLEN CANYON","72h",50,0.02,90.02,86.31,92.09,0.022
"GLEN CANYON","72h",100,0.01,105.87,99.86,108.94,0.03
"GLEN CANYON","72h",200,0.005,124.44,115.44,128.84,0.039
"GLEN CANYON","72h",500,0.002,154.03,139.72,160.93,0.051
"GLEN CANYON","72h",1000,0.001,181.04,161.08,190.32,0.06
"GLEN CANYON","72h",2000,5e-04,212.82,185.78,225.15,0.069
"GLEN CANYON","72h",5000,2e-04,263.64,224.24,281.55,0.082
"GLEN CANYON","72h",10000,1e-04,310.07,258.47,333.49,0.092
"GRAND COULEE","24h",2,0.5,39.83,39.63,40.16,0.005
"GRAND COULEE","24h",5,0.2,52.01,51.79,52.26,0.003
"GRAND COULEE","24h",10,0.1,60.42,59.85,60.86,0.005
"GRAND COULEE","24h",25,0.04,71.47,70.02,72.37,0.011
"GRAND COULEE","24h",50,0.02,79.99,77.58,81.45,0.016
"GRAND COULEE","24h",100,0.01,88.71,85.2,90.94,0.022
"GRAND COULEE","24h",200,0.005,97.68,92.94,100.92,0.027
"GRAND COULEE","24h",500,0.002,109.96,103.16,114.57,0.035
"GRAND COULEE","24h",1000,0.001,119.58,110.84,125.25,0.041
"GRAND COULEE","24h",2000,5e-04,129.51,118.64,136.84,0.048
"GRAND COULEE","24h",5000,2e-04,143.12,128.95,152.79,0.056
"GRAND COULEE","24h",10000,1e-04,153.81,136.81,165.4,0.063
"GRAND COULEE","72h",2,0.5,59.79,59.47,60.45,0.006
"GRAND COULEE","72h",5,0.2,76.2,75.87,76.63,0.003
"GRAND COULEE","72h",10,0.1,87.92,86.92,88.61,0.006
"GRAND COULEE","72h",25,0.04,104.62,102.1,106.24,0.013
"GRAND COULEE","72h",50,0.02,118.81,114.61,121.28,0.019
"GRAND COULEE","72h",100,0.01,134.71,128.3,138.46,0.026
"GRAND COULEE","72h",200,0.005,152.66,143.29,157.85,0.033
"GRAND COULEE","72h",500,0.002,180.08,165.46,187.91,0.043
"GRAND COULEE","72h",1000,0.001,204.06,184.43,214.62,0.051
"GRAND COULEE","72h",2000,5e-04,231.27,205.67,245.23,0.059
"GRAND COULEE","72h",5000,2e-04,272.94,237.52,292.66,0.07
"GRAND COULEE","72h",10000,1e-04,309.44,264.32,334.33,0.079
"SHASTA","24h",2,0.5,77.61,77.17,78.38,0.005
"SHASTA","24h",5,0.2,100.45,100,101.02,0.003
"SHASTA","24h",10,0.1,116.44,115.2,117.43,0.006
"SHASTA","24h",25,0.04,138.86,135.75,140.87,0.012
"SHASTA","24h",50,0.02,157.6,152.62,160.97,0.018
"SHASTA","24h",100,0.01,178.35,170.88,183.37,0.023
"SHASTA","24h",200,0.005,201.47,190.74,208.63,0.03
"SHASTA","24h",500,0.002,236.26,219.95,246.79,0.038
"SHASTA","24h",1000,0.001,266.24,244.75,280.13,0.045
"SHASTA","24h",2000,5e-04,299.82,271.63,317.72,0.053
"SHASTA","24h",5000,2e-04,350.5,311.52,375.02,0.062
"SHASTA","24h",10000,1e-04,394.25,345.23,425.66,0.07
"SHASTA","72h",2,0.5,126.19,125.46,127.27,0.005
"SHASTA","72h",5,0.2,171.41,170.57,172.36,0.003
"SHASTA","72h",10,0.1,201.05,199.14,202.53,0.005
"SHASTA","72h",25,0.04,238.14,233.61,241.6,0.011
"SHASTA","72h",50,0.02,265.42,258.34,270.33,0.015
"SHASTA","72h",100,0.01,292.28,281.97,299.24,0.02
"SHASTA","72h",200,0.005,318.85,305.04,328.73,0.024
"SHASTA","72h",500,0.002,353.59,333.98,367.63,0.031
"SHASTA","72h",1000,0.001,379.62,355.23,397.72,0.036
"SHASTA","72h",2000,5e-04,405.44,375.89,427.64,0.041
"SHASTA","72h",5000,2e-04,439.27,402.44,467.56,0.048
"SHASTA","72h",10000,1e-04,464.64,421.81,497.88,0.053
"FLAMING GORGE","24h",2,0.5,25.33,25.2,25.63,0.006
"FLAMING GORGE","24h",5,0.2,33.71,33.6,33.9,0.003
"FLAMING GORGE","24h",10,0.1,39.87,39.46,40.18,0.005
"FLAMING GORGE","24h",25,0.04,48.9,47.75,49.53,0.012
"FLAMING GORGE","24h",50,0.02,56.75,54.79,57.77,0.018
"FLAMING GORGE","24h",100,0.01,65.73,62.61,67.24,0.024
"FLAMING GORGE","24h",200,0.005,76.08,71.5,78.26,0.031
"FLAMING GORGE","24h",500,0.002,92.26,84.98,95.64,0.04
"FLAMING GORGE","24h",1000,0.001,106.75,96.9,111.23,0.048
"FLAMING GORGE","24h",2000,5e-04,123.52,110.44,129.66,0.056
"FLAMING GORGE","24h",5000,2e-04,149.81,131.17,158.61,0.066
"FLAMING GORGE","24h",10000,1e-04,173.37,149.05,184.79,0.075
"FLAMING GORGE","72h",2,0.5,32.26,32.09,32.53,0.004
"FLAMING GORGE","72h",5,0.2,44.07,43.9,44.31,0.003
"FLAMING GORGE","72h",10,0.1,52.15,51.69,52.5,0.005
"FLAMING GORGE","72h",25,0.04,62.66,61.6,63.44,0.01
"FLAMING GORGE","72h",50,0.02,70.69,68.88,72.01,0.014
"FLAMING GORGE","72h",100,0.01,78.85,76.13,80.84,0.019
"FLAMING GORGE","72h",200,0.005,87.18,83.43,89.91,0.024
"FLAMING GORGE","72h",500,0.002,98.49,93.14,102.37,0.031
"FLAMING GORGE","72h",1000,0.001,107.28,100.43,112.19,0.036
"FLAMING GORGE","72h",2000,5e-04,116.27,107.63,122.41,0.041
"FLAMING GORGE","72h",5000,2e-04,128.51,117.33,136.65,0.048
"FLAMING GORGE","72h",10000,1e-04,138.02,124.73,147.83,0.054
"HUNGRY HORSE","24h",2,0.5,43.7,43.42,44.17,0.006
"HUNGRY HORSE","24h",5,0.2,56.85,56.63,57.16,0.003
"HUNGRY HORSE","24h",10,0.1,66.24,65.55,66.83,0.006
"HUNGRY HORSE","24h",25,0.04,79.64,77.89,80.9,0.013
"HUNGRY HORSE","24h",50,0.02,91.03,88.18,92.98,0.018
"HUNGRY HORSE","24h",100,0.01,103.8,99.33,106.77,0.025
"HUNGRY HORSE","24h",200,0.005,118.23,111.72,122.56,0.031
"HUNGRY HORSE","24h",500,0.002,140.27,130.1,146.95,0.041
"HUNGRY HORSE","24h",1000,0.001,159.56,145.89,168.62,0.048
"HUNGRY HORSE","24h",2000,5e-04,181.46,163.4,193.4,0.056
"HUNGRY HORSE","24h",5000,2e-04,215.03,189.35,232.01,0.067
"HUNGRY HORSE","24h",10000,1e-04,244.44,211.99,265.93,0.075
"HUNGRY HORSE","72h",2,0.5,61.59,61.26,62.16,0.005
"HUNGRY HORSE","72h",5,0.2,82.02,81.69,82.44,0.003
"HUNGRY HORSE","72h",10,0.1,96.21,95.27,96.9,0.005
"HUNGRY HORSE","72h",25,0.04,114.93,112.43,116.52,0.011
"HUNGRY HORSE","72h",50,0.02,129.41,125.47,131.97,0.017
"HUNGRY HORSE","72h",100,0.01,144.31,138.6,147.99,0.022
"HUNGRY HORSE","72h",200,0.005,159.69,151.57,164.89,0.028
"HUNGRY HORSE","72h",500,0.002,180.83,168.74,188.34,0.036
"HUNGRY HORSE","72h",1000,0.001,197.48,182.21,207.23,0.042
"HUNGRY HORSE","72h",2000,5e-04,214.72,195.6,226.87,0.049
"HUNGRY HORSE","72h",5000,2e-04,238.46,213.5,254.29,0.057
"HUNGRY HORSE","72h",10000,1e-04,257.17,227.2,276.44,0.064
"THEODORE ROOSEVELT","24h",2,0.5,51.74,51.42,52.28,0.006
"THEODORE ROOSEVELT","24h",5,0.2,68.4,68.15,68.78,0.003
"THEODORE ROOSEVELT","24h",10,0.1,80.26,79.48,80.91,0.006
"THEODORE ROOSEVELT","24h",25,0.04,97.16,95.23,98.55,0.012
"THEODORE ROOSEVELT","24h",50,0.02,111.48,108.22,113.81,0.017
"THEODORE ROOSEVELT","24h",100,0.01,127.53,122.62,131.09,0.023
"THEODORE ROOSEVELT","24h",200,0.005,145.62,138.37,150.71,0.029
"THEODORE ROOSEVELT","24h",500,0.002,173.22,161.75,181.01,0.037
"THEODORE ROOSEVELT","24h",1000,0.001,197.33,181.66,207.87,0.044
"THEODORE ROOSEVELT","24h",2000,5e-04,224.64,203.95,238.62,0.051
"THEODORE ROOSEVELT","24h",5000,2e-04,266.44,237.36,286.24,0.061
"THEODORE ROOSEVELT","24h",10000,1e-04,303,265.98,328.37,0.068
"THEODORE ROOSEVELT","72h",2,0.5,67.88,67.45,68.54,0.005
"THEODORE ROOSEVELT","72h",5,0.2,94.1,93.73,94.62,0.003
"THEODORE ROOSEVELT","72h",10,0.1,112.37,111.31,113.22,0.005
"THEODORE ROOSEVELT","72h",25,0.04,136.56,133.96,138.52,0.011
"THEODORE ROOSEVELT","72h",50,0.02,155.33,150.97,158.61,0.016
"THEODORE ROOSEVELT","72h",100,0.01,174.68,168,179.43,0.022
"THEODORE ROOSEVELT","72h",200,0.005,194.72,185.45,201.57,0.027
"THEODORE ROOSEVELT","72h",500,0.002,222.34,208.71,232.27,0.035
"THEODORE ROOSEVELT","72h",1000,0.001,244.15,226.24,256.79,0.041
"THEODORE ROOSEVELT","72h",2000,5e-04,266.8,244.09,282.56,0.047
"THEODORE ROOSEVELT","72h",5000,2e-04,298.08,268.36,318.7,0.056
"THEODORE ROOSEVELT","72h",10000,1e-04,322.8,287.12,348.1,0.062
"ELEPHANT BUTTE","24h",2,0.5,36.02,35.78,36.39,0.005
"ELEPHANT BUTTE","24h",5,0.2,50.08,49.88,50.34,0.003
"ELEPHANT BUTTE","24h",10,0.1,59.72,59.13,60.18,0.005
"ELEPHANT BUTTE","24h",25,0.04,72.28,70.84,73.31,0.011
"ELEPHANT BUTTE","24h",50,0.02,81.87,79.41,83.58,0.016
"ELEPHANT BUTTE","24h",100,0.01,91.65,87.9,94.25,0.022
"ELEPHANT BUTTE","24h",200,0.005,101.63,96.48,105.29,0.027
"ELEPHANT BUTTE","24h",500,0.002,115.2,107.7,120.53,0.035
"ELEPHANT BUTTE","24h",1000,0.001,125.75,116.19,132.56,0.041
"ELEPHANT BUTTE","24h",2000,5e-04,136.57,124.69,145.18,0.047
"ELEPHANT BUTTE","24h",5000,2e-04,151.3,136,162.59,0.055
"ELEPHANT BUTTE","24h",10000,1e-04,162.76,144.69,176.51,0.061
"ELEPHANT BUTTE","72h",2,0.5,45.1,44.78,45.52,0.005
"ELEPHANT BUTTE","72h",5,0.2,62.35,62.03,62.71,0.003
"ELEPHANT BUTTE","72h",10,0.1,73.76,73.03,74.34,0.006
"ELEPHANT BUTTE","72h",25,0.04,88.18,86.51,89.51,0.011
"ELEPHANT BUTTE","72h",50,0.02,98.87,96.14,101.03,0.016
"ELEPHANT BUTTE","72h",100,0.01,109.49,105.57,112.66,0.02
"ELEPHANT BUTTE","72h",200,0.005,120.06,114.55,124.39,0.025
"ELEPHANT BUTTE","72h",500,0.002,134,126.36,140.35,0.032
"ELEPHANT BUTTE","72h",1000,0.001,144.53,134.86,152.72,0.037
"ELEPHANT BUTTE","72h",2000,5e-04,155.06,143.19,165.27,0.043
"ELEPHANT BUTTE","72h",5000,2e-04,168.97,153.97,182.1,0.05
"ELEPHANT BUTTE","72h",10000,1e-04,179.49,161.95,195.34,0.055
"TRINITY","24h",2,0.5,73.64,73.23,74.2,0.004
"TRINITY","24h",5,0.2,97.01,96.58,97.49,0.003
"TRINITY","24h",10,0.1,112.16,111.15,112.93,0.005
"TRINITY","24h",25,0.04,130.94,128.5,132.63,0.01
"TRINITY","24h",50,0.02,144.62,140.91,147.4,0.014
"TRINITY","24h",100,0.01,157.98,152.8,162.12,0.018
"TRINITY","24h",200,0.005,171.08,164.11,176.69,0.023
"TRINITY","24h",500,0.002,188.06,178.28,195.95,0.029
"TRINITY","24h",1000,0.001,200.66,188.52,210.41,0.034
"TRINITY","24h",2000,5e-04,213.06,198.51,224.8,0.039
"TRINITY","24h",5000,2e-04,229.15,211.17,243.99,0.045
"TRINITY","24h",10000,1e-04,241.1,219.95,258.46,0.05
"TRINITY","72h",2,0.5,122.6,121.86,123.58,0.004
"TRINITY","72h",5,0.2,165.24,164.46,166.12,0.003
"TRINITY","72h",10,0.1,192.82,191.04,194.12,0.005
"TRINITY","72h",25,0.04,226.93,222.82,229.87,0.01
"TRINITY","72h",50,0.02,251.71,245.36,256.53,0.014
"TRINITY","72h",100,0.01,275.88,266.61,282.93,0.019
"TRINITY","72h",200,0.005,299.55,287,309.55,0.023
"TRINITY","72h",500,0.002,330.15,312.88,344.38,0.03
"TRINITY","72h",1000,0.001,352.81,332.02,370.36,0.034
"TRINITY","72h",2000,5e-04,375.08,349.77,396.33,0.039
"TRINITY","72h",5000,2e-04,403.91,371.97,430.84,0.046
"TRINITY","72h",10000,1e-04,425.29,387.99,456.9,0.05
"SANFORD","24h",2,0.5,59.19,58.84,59.71,0.005
"SANFORD","24h",5,0.2,81.42,81.07,81.87,0.003
"SANFORD","24h",10,0.1,96.77,95.84,97.45,0.005
"SANFORD","24h",25,0.04,116.91,114.51,118.52,0.011
"SANFORD","24h",50,0.02,132.4,128.51,135.07,0.015
"SANFORD","24h",100,0.01,148.27,142.62,152.1,0.02
"SANFORD","24h",200,0.005,164.58,156.71,169.94,0.025
"SANFORD","24h",500,0.002,186.87,175.7,194.64,0.033
"SANFORD","24h",1000,0.001,204.34,190.21,214.41,0.038
"SANFORD","24h",2000,5e-04,222.34,205,235.17,0.044
"SANFORD","24h",5000,2e-04,247.01,224.68,263.71,0.052
"SANFORD","24h",10000,1e-04,266.34,239.84,286.35,0.058
"SANFORD","72h",2,0.5,72.53,72.11,73.11,0.004
"SANFORD","72h",5,0.2,99.31,98.86,99.82,0.003
"SANFORD","72h",10,0.1,117.25,116.17,118.03,0.005
"SANFORD","72h",25,0.04,140.14,137.62,142.08,0.01
"SANFORD","72h",50,0.02,157.29,153.35,160.4,0.014
"SANFORD","72h",100,0.01,174.45,168.61,178.78,0.019
"SANFORD","72h",200,0.005,191.69,183.86,197.62,0.024
"SANFORD","72h",500,0.002,214.67,203.3,223.27,0.03
"SANFORD","72h",1000,0.001,232.19,217.77,243.19,0.035
"SANFORD","72h",2000,5e-04,249.86,232.24,263.46,0.04
"SANFORD","72h",5000,2e-04,273.44,251.36,291.33,0.047
"SANFORD","72h",10000,1e-04,291.44,265.59,313.15,0.052
"NEW MELONES","24h",2,0.5,79.14,78.68,79.94,0.005
"NEW MELONES","24h",5,0.2,107.88,107.46,108.46,0.003
"NEW MELONES","24h",10,0.1,128.07,126.79,128.97,0.005
"NEW MELONES","24h",25,0.04,154.97,151.51,157.15,0.012
"NEW MELONES","24h",50,0.02,175.98,170.15,179.63,0.017
"NEW MELONES","24h",100,0.01,197.78,189.08,203.1,0.023
"NEW MELONES","24h",200,0.005,220.47,208.32,227.73,0.029
"NEW MELONES","24h",500,0.002,251.95,234.35,262.72,0.037
"NEW MELONES","24h",1000,0.001,276.97,254.43,290.45,0.044
"NEW MELONES","24h",2000,5e-04,303.1,274.89,319.72,0.05
"NEW MELONES","24h",5000,2e-04,339.42,302.59,361.45,0.059
"NEW MELONES","24h",10000,1e-04,368.31,323.74,395.51,0.066
"NEW MELONES","72h",2,0.5,123.65,122.75,125.15,0.006
"NEW MELONES","72h",5,0.2,175.55,174.77,176.67,0.003
"NEW MELONES","72h",10,0.1,212.35,210.09,214.19,0.006
"NEW MELONES","72h",25,0.04,261.83,255.6,266.24,0.013
"NEW MELONES","72h",50,0.02,300.81,290.67,307.81,0.018
"NEW MELONES","72h",100,0.01,341.53,326.19,352.02,0.025
"NEW MELONES","72h",200,0.005,384.23,362.32,398.97,0.031
"NEW MELONES","72h",500,0.002,443.97,411.31,465.54,0.04
"NEW MELONES","72h",1000,0.001,491.85,448.94,519.65,0.047
"NEW MELONES","72h",2000,5e-04,542.21,487.47,577.15,0.054
"NEW MELONES","72h",5000,2e-04,612.79,540.98,659.52,0.063
"NEW MELONES","72h",10000,1e-04,669.4,582.72,726.16,0.071
"B. F. SISK","24h",2,0.5,80.52,79.97,81.42,0.006
"B. F. SISK","24h",5,0.2,108.68,108.09,109.35,0.003
"B. F. SISK","24h",10,0.1,128.41,126.94,129.51,0.006
"B. F. SISK","24h",25,0.04,154.64,150.66,157.18,0.013
"B. F. SISK","24h",50,0.02,175.08,168.46,179.11,0.019
"B. F. SISK","24h",100,0.01,196.25,186.42,202.54,0.026
"B. F. SISK","24h",200,0.005,218.24,204.68,226.83,0.032
"B. F. SISK","24h",500,0.002,248.69,228.81,261.54,0.041
"B. F. SISK","24h",1000,0.001,272.85,247.74,289.61,0.049
"B. F. SISK","24h",2000,5e-04,298.02,267.04,319.31,0.056
"B. F. SISK","24h",5000,2e-04,332.94,292.43,360.67,0.066
"B. F. SISK","24h",10000,1e-04,360.65,311.88,393.8,0.073
"B. F. SISK","72h",2,0.5,124.67,123.56,126.37,0.007
"B. F. SISK","72h",5,0.2,175.61,174.67,176.78,0.004
"B. F. SISK","72h",10,0.1,211.98,209.48,214.08,0.007
"B. F. SISK","72h",25,0.04,261.2,254.19,266.2,0.015
"B. F. SISK","72h",50,0.02,300.22,288.2,308.6,0.021
"B. F. SISK","72h",100,0.01,341.2,322.89,354.04,0.029
"B. F. SISK","72h",200,0.005,384.39,358.43,402.48,0.036
"B. F. SISK","72h",500,0.002,445.2,406.72,472.65,0.046
"B. F. SISK","72h",1000,0.001,494.24,444.58,530.26,0.054
"B. F. SISK","72h",2000,5e-04,546.08,483.56,591.36,0.063
"B. F. SISK","72h",5000,2e-04,619.18,537.13,680.02,0.074
"B. F. SISK","72h",10000,1e-04,678.18,578.93,751.27,0.082
"NAVAJO","24h",2,0.5,31.6,31.43,31.86,0.004
"NAVAJO","24h",5,0.2,42.37,42.19,42.58,0.003
"NAVAJO","24h",10,0.1,49.6,49.16,49.94,0.005
"NAVAJO","24h",25,0.04,58.87,57.82,59.68,0.01
"NAVAJO","24h",50,0.02,65.84,64.05,67.09,0.015
"NAVAJO","24h",100,0.01,72.83,70.23,74.64,0.019
"NAVAJO","24h",200,0.005,79.87,76.38,82.29,0.024
"NAVAJO","24h",500,0.002,89.28,84.32,92.77,0.031
"NAVAJO","24h",1000,0.001,96.48,90.19,101,0.036
"NAVAJO","24h",2000,5e-04,103.76,96.06,109.37,0.041
"NAVAJO","24h",5000,2e-04,113.5,103.78,120.75,0.048
"NAVAJO","24h",10000,1e-04,120.97,109.41,129.63,0.054
"NAVAJO","72h",2,0.5,42.94,42.7,43.31,0.005
"NAVAJO","72h",5,0.2,55.05,54.79,55.32,0.003
"NAVAJO","72h",10,0.1,63.36,62.74,63.85,0.006
"NAVAJO","72h",25,0.04,74.83,73.32,75.92,0.011
"NAVAJO","72h",50,0.02,84.28,81.86,86.02,0.016
"NAVAJO","72h",100,0.01,94.62,91.12,97.19,0.021
"NAVAJO","72h",200,0.005,105.99,101.14,109.42,0.026
"NAVAJO","72h",500,0.002,122.85,115.63,127.97,0.034
"NAVAJO","72h",1000,0.001,137.18,127.55,144.05,0.04
"NAVAJO","72h",2000,5e-04,153.03,140.74,161.97,0.046
"NAVAJO","72h",5000,2e-04,176.61,159.73,188.98,0.054
"NAVAJO","72h",10000,1e-04,196.68,175.55,212.24,0.061
"MONTICELLO","24h",2,0.5,109.25,108.59,110.23,0.005
"MONTICELLO","24h",5,0.2,146.51,145.88,147.25,0.003
"MONTICELLO","24h",10,0.1,172.22,170.64,173.43,0.005
"MONTICELLO","24h",25,0.04,205.93,201.78,208.82,0.011
"MONTICELLO","24h",50,0.02,231.86,224.87,236.39,0.016
"MONTICELLO","24h",100,0.01,258.39,248.08,265.2,0.022
"MONTICELLO","24h",200,0.005,285.65,271.39,295.43,0.027
"MONTICELLO","24h",500,0.002,322.9,302.31,337.53,0.035
"MONTICELLO","24h",1000,0.001,352.06,326.03,371.04,0.041
"MONTICELLO","24h",2000,5e-04,382.11,349.83,405.99,0.047
"MONTICELLO","24h",5000,2e-04,423.25,381.05,454.69,0.056
"MONTICELLO","24h",10000,1e-04,455.48,404.96,493.6,0.062
"MONTICELLO","72h",2,0.5,178.11,176.65,180.03,0.006
"MONTICELLO","72h",5,0.2,251.05,249.94,252.31,0.003
"MONTICELLO","72h",10,0.1,301.87,298.54,304.55,0.006
"MONTICELLO","72h",25,0.04,368.54,360.52,374.54,0.012
"MONTICELLO","72h",50,0.02,419.82,407.37,429.19,0.017
"MONTICELLO","72h",100,0.01,472.4,454.67,485.98,0.021
"MONTICELLO","72h",200,0.005,526.59,502.92,544.66,0.025
"MONTICELLO","72h",500,0.002,601.06,568.58,625.75,0.031
"MONTICELLO","72h",1000,0.001,659.76,619.56,691.23,0.035
"MONTICELLO","72h",2000,5e-04,720.66,671.73,759.73,0.039
"MONTICELLO","72h",5000,2e-04,804.73,743.11,854.45,0.043
"MONTICELLO","72h",10000,1e-04,871.17,799.85,929.02,0.047
"DAVIS BOR","24h",2,0.5,36.87,36.52,37.54,0.01
"DAVIS BOR","24h",5,0.2,51.43,51.16,51.84,0.005
"DAVIS BOR","24h",10,0.1,62.07,61.19,62.82,0.008
"DAVIS BOR","24h",25,0.04,77.56,75.08,79.3,0.018
"DAVIS BOR","24h",50,0.02,90.97,86.64,93.66,0.026
"DAVIS BOR","24h",100,0.01,106.26,99.41,110.38,0.035
"DAVIS BOR","24h",200,0.005,123.79,113.82,129.73,0.044
"DAVIS BOR","24h",500,0.002,151.06,135.69,160.2,0.056
"DAVIS BOR","24h",1000,0.001,175.36,154.58,187.92,0.066
"DAVIS BOR","24h",2000,5e-04,203.36,175.91,220.23,0.076
"DAVIS BOR","24h",5000,2e-04,247.06,207.69,271.54,0.09
"DAVIS BOR","24h",10000,1e-04,286.04,235.05,317.99,0.101
"DAVIS BOR","72h",2,0.5,45.17,44.75,45.84,0.008
"DAVIS BOR","72h",5,0.2,65.32,64.9,65.82,0.004
"DAVIS BOR","72h",10,0.1,79.07,78.02,79.92,0.008
"DAVIS BOR","72h",25,0.04,96.93,94.21,98.84,0.015
"DAVIS BOR","72h",50,0.02,110.54,106.04,113.56,0.021
"DAVIS BOR","72h",100,0.01,124.36,117.62,128.85,0.028
"DAVIS BOR","72h",200,0.005,138.44,129.02,144.83,0.035
"DAVIS BOR","72h",500,0.002,157.51,144.03,166.77,0.044
"DAVIS BOR","72h",1000,0.001,172.31,155.23,184.05,0.052
"DAVIS BOR","72h",2000,5e-04,187.43,166.33,201.99,0.059
"DAVIS BOR","72h",5000,2e-04,207.95,180.97,226.78,0.069
"DAVIS BOR","72h",10000,1e-04,223.88,191.97,246.39,0.076
"BOYSEN","24h",2,0.5,30.09,29.87,30.45,0.006
"BOYSEN","24h",5,0.2,42.04,41.81,42.28,0.003
"BOYSEN","24h",10,0.1,50.05,49.52,50.48,0.006
"BOYSEN","24h",25,0.04,60.28,58.92,61.26,0.012
"BOYSEN","24h",50,0.02,67.96,65.75,69.48,0.018
"BOYSEN","24h",100,0.01,75.66,72.39,77.89,0.023
"BOYSEN","24h",200,0.005,83.4,78.84,86.57,0.029
"BOYSEN","24h",500,0.002,93.72,87.18,98.23,0.037
"BOYSEN","24h",1000,0.001,101.61,93.32,107.32,0.043
"BOYSEN","24h",2000,5e-04,109.57,99.3,116.67,0.049
"BOYSEN","24h",5000,2e-04,120.2,107.02,129.46,0.057
"BOYSEN","24h",10000,1e-04,128.33,112.72,139.39,0.063
"BOYSEN","72h",2,0.5,37.46,37.19,37.89,0.006
"BOYSEN","72h",5,0.2,52.91,52.59,53.27,0.004
"BOYSEN","72h",10,0.1,63.02,62.3,63.63,0.007
"BOYSEN","72h",25,0.04,75.65,73.94,76.9,0.013
"BOYSEN","72h",50,0.02,84.91,82.14,86.82,0.018
"BOYSEN","72h",100,0.01,94.03,89.95,96.83,0.023
"BOYSEN","72h",200,0.005,103.03,97.52,106.78,0.028
"BOYSEN","72h",500,0.002,114.77,107.09,120.09,0.035
"BOYSEN","72h",1000,0.001,123.56,114.02,130.22,0.041
"BOYSEN","72h",2000,5e-04,132.26,120.71,140.34,0.047
"BOYSEN","72h",5000,2e-04,143.64,129.21,153.91,0.054
"BOYSEN","72h",10000,1e-04,152.16,135.16,164.32,0.059
"TIBER","24h",2,0.5,35.37,35.13,35.74,0.005
"TIBER","24h",5,0.2,50.1,49.89,50.33,0.003
"TIBER","24h",10,0.1,60.3,59.66,60.72,0.006
"TIBER","24h",25,0.04,73.6,72.07,74.62,0.011
"TIBER","24h",50,0.02,83.79,81.44,85.36,0.015
"TIBER","24h",100,0.01,94.21,90.83,96.41,0.019
"TIBER","24h",200,0.005,104.91,100.39,107.89,0.022
"TIBER","24h",500,0.002,119.57,113.4,123.74,0.027
"TIBER","24h",1000,0.001,131.1,123.58,136.17,0.031
"TIBER","24h",2000,5e-04,143.03,133.95,149.2,0.034
"TIBER","24h",5000,2e-04,159.46,148.16,167.33,0.038
"TIBER","24h",10000,1e-04,172.41,159.17,181.73,0.041
"TIBER","72h",2,0.5,45.57,45.29,45.99,0.005
"TIBER","72h",5,0.2,64.51,64.22,64.81,0.003
"TIBER","72h",10,0.1,77.28,76.5,77.86,0.005
