"facility_id","name","ok"
"VA01902","SMITH MOUNTAIN COMBINATION PUMP STORAGE",TRUE
"MO30204","WAPPAPELLO LAKE DAM",TRUE
"KS00021","GLEN ELDER",TRUE
"WY01295","PATHFINDER DIKE",TRUE
"UT10135","BOR SOLDIER CREEK",TRUE
"WY01486","GLENDO DIKE NO. 2",TRUE
"WY01485","GLENDO DIKE NO. 1",TRUE
"WY01487","GLENDO DIKE NO. 3",TRUE
"CA10148","FOLSOM RIGHT WING",TRUE
"WY01291","GLENDO DIKE NO. 1",TRUE
"SC01076","COOPER DEV - PINOPOLIS DAM",TRUE
"WI00647","NEENAH",TRUE
"CA00240","EXCHEQUER MAIN",TRUE
"TX00022","TWIN BUTTES",TRUE
"TX04425","CHOKE CANYON DAM",TRUE
"ME00091","MOOSEHEAD - EAST OUTLET",TRUE
"TX04358","LAKE KEMP DAM",TRUE
"AZ82929","NEW WADDELL",TRUE
"TX00170","BLACKBURN CROSSING DAM",TRUE
"TX00013","SOMERVILLE LAKE",TRUE
"IL00118","LAKE SHELBYVILLE DAM",TRUE
"NC01713","FALLS LAKE DAM",TRUE
"TX00007","LAVON LAKE",TRUE
"WY01297","SEMINOE",TRUE
"WY01296","PATHFINDER DIKE",TRUE
"TX00014","STILLHOUSE HOLLOW DAM",TRUE
"TX02789","LAKE BROWNWOOD DAM",TRUE
"CA00863","NEW BULLARDS BAR",TRUE
"IL55094","CHICAGO RIVER & HARBOR CONTROLLING WORKS",TRUE
"CA10112","PINE FLAT DAM",TRUE
"OK10319","GREAT SALT PLAINS LAKE",TRUE
"NE05050","GAVINS POINT DAM",TRUE
"TX00016","WACO LAKE",TRUE
"OK10306","PINE CREEK LAKE",TRUE
"NM00500","BRANTLEY",TRUE
"SC01065","LITTLE RIVER",TRUE
"SC00706","KEOWEE",TRUE
"KY03058","CANNELTON LOCKS & DAM",TRUE
"TN06504","CHICKAMAUGA",TRUE
"CO01675","BLUE MESA",TRUE
"OK22203","WAURIKA LAKE",TRUE
"AL01432","WALTER F GEORGE LOCK,DAM,POWERHOUSE",TRUE
"TX01496","BRIDGEPORT DAM",TRUE
"AZ10436","COOLIDGE",TRUE
"ID00448","BRUNO CREEK MINE TAILINGS",TRUE
"OK22200","SKIATOOK LAKE",TRUE
"TN16305","SOUTH HOLSTON",TRUE
"WI00727","LOCK & DAM #4",TRUE
"OR00557","UPPER KLAMATH LAKE",TRUE
"WY01385","JACKSON LAKE",TRUE
"PA00004","RAYSTOWN DAM",TRUE
"KS00002","ELK CITY LAKE",TRUE
"CA01410","DIAMOND VALLEY LAKE",TRUE
"TX03639","HUBBARD CREEK DAM",TRUE
"NE01066","HARLAN COUNTY DAM",TRUE
"OK02503","FOSS RESERVOIR",TRUE
"KY03009","BARREN RIVER LAKE DAM",TRUE
"TX03517","ROBERT LEE DAM",TRUE
"NY00678","ROBERT MOSES - ST. LAWRENCE",TRUE
"NY00676","IROQUOIS",TRUE
"TX08012","JIM CHAPMAN LAKE",TRUE
"WA00085","WANAPUM",TRUE
"NY00146","CONKLINGVILLE",TRUE
"TX00005","GRAPEVINE LAKE",TRUE
"MN00594","LOCK & DAM #2",TRUE
"KS00009","PERRY DAM",TRUE
"TX00012","O C FISHER DAM AND LAKE",TRUE
"WA00147","SWIFT NO. 1",TRUE
"LA00181","CADDO DAM",TRUE
"TN01903","WATAUGA",TRUE
"KY03060","JOHN T. MYERS LOCKS & DAM",TRUE
"IL50499","SMITHLAND LOCKS & DAM",TRUE
"KS00013","WILSON DAM",TRUE
"OK22199","SARDIS LAKE",TRUE
"CA10162","LAKE TAHOE",TRUE
"KS00019","CEDAR BLUFF",TRUE
"FL00271","STRUCTURE 65",TRUE
"KY03007","GREEN RIVER LAKE DAM",TRUE
"NM00404","COCHITI LAKE",TRUE
"NM00158","SANTA ROSA DAM",TRUE
"WA00274","CLE ELUM DAM",TRUE
"NM00006","CONCHAS DAM",TRUE
"TX00097","CONROE DAM",TRUE
"MN00093","KETTLE FALLS",TRUE
"ID00283","CASCADE",TRUE
"ME00204","RIPOGENUS",TRUE
"TX02883","LAKE ARROWHEAD DAM",TRUE
"TX00779","EAGLE MOUNTAIN DAM",TRUE
"MN00585","LEECH LAKE DAM",TRUE
"WA00004","CHELAN",TRUE
"AL07702","WILSON",TRUE
"GA03742","ALLATOONA LAKE DAM AND POWERHOUSE",TRUE
"TN05102","TIMS FORD",TRUE
"NY00416","MUD LOCK C&S CANAL DAM",TRUE
"FL36007","G328 CONTROL STRUCTURE",TRUE
"FL36008","G335 CONTROL STRUCTURE",TRUE
"FL36010","G338 CONTROL STRUCTURE",TRUE
"AR01205","DE GRAY SADDLE DIKE NO 2",TRUE
"TN03701","J PERCY PRIEST DAM",TRUE
"MO30201","POMME DE TERRE DAM",TRUE
"AL01417","LOGAN MARTIN",TRUE
"TX08005","GRANGER DAM AND LAKE",TRUE
"WY01300","BUFFALO BILL",TRUE
"TX08007","JOE POOL LAKE",TRUE
"IA00017","SAYLORVILLE DAM",TRUE
"KY03033","MARKLAND LOCKS & DAM",TRUE
"WV08902","BLUESTONE DAM",TRUE
"WY01380","KEYHOLE",TRUE
"KS00004","JOHN REDMOND LAKE",TRUE
"OK20510","OPTIMA LAKE",TRUE
"KY03055","CAVE RUN LAKE DAM",TRUE
"KY03032","CPT. ANTHONY MELDAHL L&D",TRUE
"NY00342","DOWNSVILLE DAM",TRUE
"KY03011","NOLIN LAKE DAM",TRUE
"CO01283","JOHN MARTIN DAM & RESERVOIR",TRUE
"IL00117","REND LAKE DAM",TRUE
"GA00820","WEST POINT",TRUE
"AR00154","NARROWS DAM",TRUE
"CA10141","CLEAR LAKE DIKE 1",TRUE
"WA00299","CHIEF JOSEPH DAM",TRUE
"TX00010","PROCTOR LAKE",TRUE
"KY03059","NEWBURGH LOCKS & DAM",TRUE
"TX00837","ROCKWALL-FORNEY DAM",TRUE
"CA10106","ISABELLA DAM",TRUE
"KS00017","CHENEY",TRUE
"WA00331","LITTLE GOOSE LOCK AND DAM",TRUE
"TX04455","STERLING C ROBERTSON DAM",TRUE
"MN00209","OTTER TAIL LAKE",TRUE
"TX03849","MORRIS SHEPPARD",TRUE
"IA00016","RATHBUN DAM",TRUE
"MN00586","WINNIBIGOSHISH DAM",TRUE
"WA00268","OSULLIVAN",TRUE
"FL00384","STRUCTURE NO. 31",TRUE
"FL00683","STRUCTURE 336",TRUE
"FL00693","STRUCTURE 337",TRUE
"TN03702","OLD HICKORY DAM",TRUE
"SD01094","GAVINS POINT DAM",TRUE
"MS02716","ROSS BARNETT RESERVOIR DAM",TRUE
"CO01656","GRANBY",TRUE
"FL00345","PUMPING STATION NO. 7",TRUE
"FL00350","STRUCTURE NO. 143 (CULVERT L-35B-1)",TRUE
"OR00001","BONNEVILLE LOCK AND DAM",TRUE
"CO00299","PUEBLO",TRUE
"OR00549","ROUND BUTTE",TRUE
"TX03895","WESLEY E SEALE DAM",TRUE
"WI00740","PETENWELL",TRUE
"OK10301","ROBERT S.KERR LOCK AND DAM",TRUE
"MT00134","HEBGEN DAM",TRUE
"KY03034","OHIO FALLS POWERHOUSE",TRUE
"CA10154","FRIANT",TRUE
"TX02312","RED BLUFF DAM",TRUE
"NY00709","WATERLOO",TRUE
"TN10506","TELLICO",TRUE
"KS00022","KIRWIN",TRUE
"NC00826","GASTON",TRUE
"NY00041","ASHOKAN DAM",TRUE
"ID00279","ANDERSON RANCH",TRUE
"WA00098","WELLS",TRUE
"OR00612","WILLIAM L. JESS",TRUE
"FL36005","G300 CONTROL STRUCTURE",TRUE
"FL36006","G301 CONTROL STRUCTURE",TRUE
"FL36019","G94D CONTROL STRUCTURE",TRUE
"FL36018","G94C CONTROL STRUCTURE",TRUE
"FL36017","G94B CONTROL STRUCTURE",TRUE
"FL36016","G94A CONTROL STRUCTURE",TRUE
"CA00813","SAN ANTONIO",TRUE
"GA00836","SINCLAIR",TRUE
"CO01688","LEMON",TRUE
"VA83005","LAKE ANNA DAM AND RESERVOIR",TRUE
"AR00162","DARDANELLE LOCK & DAM",TRUE
"WA00145","CUSHMAN NO 1",TRUE
"WA83070","CUSHMAN NO. 1 SPILLWAY",TRUE
"OR00009","LOOKOUT POINT",TRUE
"TN10501","FORT LOUDOUN",TRUE
"WA00604","CUSHMAN DAM NO. 1 - SPILLWAY HEADWORKS",TRUE
"GA00821","CARTERS MAIN DAM",TRUE
"NC00419","HIWASSEE",TRUE
"WI00733","LOCK & DAM #9",TRUE
"CA00812","NACIMIENTO",TRUE
"SD01140","SHADEHILL DIKE NO.1",TRUE
"SD01141","SHADEHILL",TRUE
"WA00301","HIRAM M. CHITTENDEN LOCKS & DAM",TRUE
"TX04359","PAT MAYSE LAKE",TRUE
"OR00004","DETROIT",TRUE
"NY00542","CANNONSVILLE",TRUE
"CA10303","WARM SPRINGS DAM",TRUE
"PA00176","PYMATUNING",TRUE
"IN03001","MONROE LAKE DAM",TRUE
"OK00134","ROBERT S. KERR",TRUE
"KY03046","LAUREL DAM",TRUE
"KS00005","KANOPOLIS DAM",TRUE
"WA00270","LOWER MONUMENTAL LOCK AND DAM",TRUE
"TX04138","LAKE JB THOMAS DAM",TRUE
"FL00338","STRUCTURE NO. 39",TRUE
"FL00334","PUMPING STATION NO. 6",TRUE
"OR00010","GREEN PETER",TRUE
"NM00122","HERON",TRUE
"OK10315","WISTER LAKE",TRUE
"AL83001","R. L. HARRIS",TRUE
"WA00149","MERWIN",TRUE
"VA00501","GATHRIGHT DAM",TRUE
"IA00012","CORALVILLE DAM",TRUE
"TX08004","AQUILLA LAKE",TRUE
"CA00911","CACHE CREEK",TRUE
"CA00173","CAMANCHE MAIN",TRUE
"NC00132","COWANS FORD",TRUE
"WV06702","SUMMERSVILLE DAM",TRUE
"OH00431","ENGLEWOOD DAM",TRUE
"MO30203","CLEARWATER DAM",TRUE
"ID00244","PAYETTE LAKE",TRUE
"TX00003","BENBROOK LAKE",TRUE
"NY00468","MOUNT MORRIS DAM",TRUE
"WA00347","ICE HARBOR LOCK AND DAM",TRUE
"FL00435","JIM WOODRUFF DAM",TRUE
"WY01389","FONTENELLE",TRUE
"NM00293","UTE DAM",TRUE
"TN11502","NICKAJACK",TRUE
"WA00148","YALE",TRUE
"WA00135","YALE SADDLE DAM",TRUE
"KS00025","WEBSTER",TRUE
"MT00223","NOXON RAPIDS",TRUE
"SC83025","FAIRFIELD DAM B (MAIN DAM)",TRUE
"GA00839","WALLACE",TRUE
"CO02707","MCPHEE",TRUE
"CA10197","TWITCHELL",TRUE
"ND00145","GARRISON DAM SNAKE CREEK EMBANKMENT",TRUE
"WV05302","ROBERT C BYRD L & D",TRUE
"OR00581","EMIGRANT",TRUE
"WA00086","ROCKY REACH",TRUE
"KY03042","OHIO RIVER LOCKS & DAM 53",TRUE
"OH00427","TAYLORSVILLE DAM",TRUE
"OK10316","CANTON LAKE",TRUE
"ND00151","JAMESTOWN DAM",TRUE
