"site","site_id","duration","dist","Z","absZ","acceptable"
"MILLERS CREEK DAM","TX01029","72h","glo",1.923,1.923,FALSE
"MILLERS CREEK DAM","TX01029","72h","pe3",-3.061,3.061,FALSE
"MILLERS CREEK DAM","TX01029","72h","gpa",-7.578,7.578,FALSE
"LAKE HATTIE","WY00015","24h","gev",-1.187,1.187,TRUE
"LAKE HATTIE","WY00015","24h","glo",1.454,1.454,TRUE
"LAKE HATTIE","WY00015","24h","gno",-2.06,2.06,FALSE
"LAKE HATTIE","WY00015","24h","pe3",-3.731,3.731,FALSE
"LAKE HATTIE","WY00015","24h","gpa",-7.516,7.516,FALSE
"LAKE HATTIE","WY00015","72h","gev",-0.522,0.522,TRUE
"LAKE HATTIE","WY00015","72h","gno",-1.338,1.338,TRUE
"LAKE HATTIE","WY00015","72h","glo",2.357,2.357,FALSE
"LAKE HATTIE","WY00015","72h","pe3",-2.953,2.953,FALSE
"LAKE HATTIE","WY00015","72h","gpa",-7.31,7.31,FALSE
"HANNIBAL LOCKS AND DAM","WV10301","24h","glo",1.19,1.19,TRUE
"HANNIBAL LOCKS AND DAM","WV10301","24h","gev",-1.857,1.857,FALSE
"HANNIBAL LOCKS AND DAM","WV10301","24h","gno",-2.902,2.902,FALSE
"HANNIBAL LOCKS AND DAM","WV10301","24h","pe3",-4.889,4.889,FALSE
"HANNIBAL LOCKS AND DAM","WV10301","24h","gpa",-9.19,9.19,FALSE
"HANNIBAL LOCKS AND DAM","WV10301","72h","gev",-0.213,0.213,TRUE
"HANNIBAL LOCKS AND DAM","WV10301","72h","gno",-1.1,1.1,TRUE
"HANNIBAL LOCKS AND DAM","WV10301","72h","pe3",-2.968,2.968,FALSE
"HANNIBAL LOCKS AND DAM","WV10301","72h","glo",3.724,3.724,FALSE
"HANNIBAL LOCKS AND DAM","WV10301","72h","gpa",-9.303,9.303,FALSE
"ELEVEN MILE CANYON","CO00359","24h","gev",-1.017,1.017,TRUE
"ELEVEN MILE CANYON","CO00359","24h","gno",-1.73,1.73,FALSE
"ELEVEN MILE CANYON","CO00359","24h","glo",1.918,1.918,FALSE
"ELEVEN MILE CANYON","CO00359","24h","pe3",-3.201,3.201,FALSE
"ELEVEN MILE CANYON","CO00359","24h","gpa",-7.837,7.837,FALSE
"ELEVEN MILE CANYON","CO00359","72h","gev",-1.456,1.456,TRUE
"ELEVEN MILE CANYON","CO00359","72h","glo",1.493,1.493,TRUE
"ELEVEN MILE CANYON","CO00359","72h","gno",-2.34,2.34,FALSE
"ELEVEN MILE CANYON","CO00359","72h","pe3",-4.067,4.067,FALSE
"ELEVEN MILE CANYON","CO00359","72h","gpa",-8.45,8.45,FALSE
"TONGUE RIVER DAM","MT00002","24h","gno",-0.232,0.232,TRUE
"TONGUE RIVER DAM","MT00002","24h","gev",0.714,0.714,TRUE
"TONGUE RIVER DAM","MT00002","24h","pe3",-2.202,2.202,FALSE
"TONGUE RIVER DAM","MT00002","24h","glo",4.756,4.756,FALSE
"TONGUE RIVER DAM","MT00002","24h","gpa",-8.646,8.646,FALSE
"TONGUE RIVER DAM","MT00002","72h","gno",-0.117,0.117,TRUE
"TONGUE RIVER DAM","MT00002","72h","gev",0.966,0.966,TRUE
"TONGUE RIVER DAM","MT00002","72h","pe3",-2.283,2.283,FALSE
"TONGUE RIVER DAM","MT00002","72h","glo",4.957,4.957,FALSE
"TONGUE RIVER DAM","MT00002","72h","gpa",-8.404,8.404,FALSE
"OXFORD","NC00329","24h","gev",0.548,0.548,TRUE
"OXFORD","NC00329","24h","gno",-0.735,0.735,TRUE
"OXFORD","NC00329","24h","pe3",-3.092,3.092,FALSE
"OXFORD","NC00329","24h","glo",3.552,3.552,FALSE
"OXFORD","NC00329","24h","gpa",-6.887,6.887,FALSE
"OXFORD","NC00329","72h","glo",0.127,0.127,TRUE
"OXFORD","NC00329","72h","gev",-2.277,2.277,FALSE
"OXFORD","NC00329","72h","gno",-3.489,3.489,FALSE
"OXFORD","NC00329","72h","pe3",-5.673,5.673,FALSE
"OXFORD","NC00329","72h","gpa",-8.37,8.37,FALSE
"GEORGE B STEVENSON","PA00914","24h","glo",0.189,0.189,TRUE
"GEORGE B STEVENSON","PA00914","24h","gev",-1.746,1.746,FALSE
"GEORGE B STEVENSON","PA00914","24h","gno",-2.271,2.271,FALSE
"GEORGE B STEVENSON","PA00914","24h","pe3",-3.321,3.321,FALSE
"GEORGE B STEVENSON","PA00914","24h","gpa",-6.289,6.289,FALSE
"GEORGE B STEVENSON","PA00914","72h","glo",0.543,0.543,TRUE
"GEORGE B STEVENSON","PA00914","72h","gev",-1.559,1.559,TRUE
"GEORGE B STEVENSON","PA00914","72h","gno",-2.064,2.064,FALSE
"GEORGE B STEVENSON","PA00914","72h","pe3",-3.109,3.109,FALSE
"GEORGE B STEVENSON","PA00914","72h","gpa",-6.44,6.44,FALSE
"NANTAHALA","NC00371","24h","gev",-0.219,0.219,TRUE
"NANTAHALA","NC00371","24h","gno",-1.254,1.254,TRUE
"NANTAHALA","NC00371","24h","pe3",-3.335,3.335,FALSE
"NANTAHALA","NC00371","24h","glo",3.666,3.666,FALSE
"NANTAHALA","NC00371","24h","gpa",-9.325,9.325,FALSE
"NANTAHALA","NC00371","72h","gev",-0.948,0.948,TRUE
"NANTAHALA","NC00371","72h","gno",-1.92,1.92,FALSE
"NANTAHALA","NC00371","72h","glo",2.655,2.655,FALSE
"NANTAHALA","NC00371","72h","pe3",-3.869,3.869,FALSE
"NANTAHALA","NC00371","72h","gpa",-9.403,9.403,FALSE
"SHERMAN DAM","NE01077","24h","gev",-0.47,0.47,TRUE
"SHERMAN DAM","NE01077","24h","gno",-1.415,1.415,TRUE
"SHERMAN DAM","NE01077","24h","pe3",-3.357,3.357,FALSE
"SHERMAN DAM","NE01077","24h","glo",3.395,3.395,FALSE
"SHERMAN DAM","NE01077","24h","gpa",-9.456,9.456,FALSE
"SHERMAN DAM","NE01077","72h","gev",-0.539,0.539,TRUE
"SHERMAN DAM","NE01077","72h","gno",-1.106,1.106,TRUE
"SHERMAN DAM","NE01077","72h","pe3",-2.648,2.648,FALSE
"SHERMAN DAM","NE01077","72h","glo",4.172,4.172,FALSE
"SHERMAN DAM","NE01077","72h","gpa",-10.977,10.977,FALSE
"CHINA HAT","ID00266","24h","gev",-1.605,1.605,TRUE
"CHINA HAT","ID00266","24h","gno",-2.316,2.316,FALSE
"CHINA HAT","ID00266","24h","glo",3.04,3.04,FALSE
"CHINA HAT","ID00266","24h","pe3",-4.044,4.044,FALSE
"CHINA HAT","ID00266","24h","gpa",-12.032,12.032,FALSE
"CHINA HAT","ID00266","72h","gev",-1.063,1.063,TRUE
"CHINA HAT","ID00266","72h","gno",-1.793,1.793,FALSE
