"site","site_id","duration","dist","T","growth_factor","depth_mm"
"PUMPING STATION 131 AND LOCK","FL00302","72h","PE3",10000,2.6055,144.07
"PUMPING STATION 131 AND LOCK","FL00302","72h","GEV",10000,2.728,150.84
"PUMPING STATION 131 AND LOCK","FL00302","72h","GNO",10000,2.7927,154.42
"PUMPING STATION 131 AND LOCK","FL00302","72h","GLO",10000,3.9392,217.81
"PUMPING STATION 127 AND LOCK","FL00299","24h","GPA",10000,1.9238,96.03
"PUMPING STATION 127 AND LOCK","FL00299","24h","PE3",10000,2.7735,138.45
"PUMPING STATION 127 AND LOCK","FL00299","24h","GNO",10000,3.051,152.3
"PUMPING STATION 127 AND LOCK","FL00299","24h","GEV",10000,3.0762,153.56
"PUMPING STATION 127 AND LOCK","FL00299","24h","GLO",10000,4.4586,222.56
"PUMPING STATION 127 AND LOCK","FL00299","72h","GPA",10000,1.7892,98.93
"PUMPING STATION 127 AND LOCK","FL00299","72h","PE3",10000,2.6055,144.07
"PUMPING STATION 127 AND LOCK","FL00299","72h","GEV",10000,2.728,150.84
"PUMPING STATION 127 AND LOCK","FL00299","72h","GNO",10000,2.7927,154.42
"PUMPING STATION 127 AND LOCK","FL00299","72h","GLO",10000,3.9392,217.81
"PUMPING STATION 129","FL00301","24h","GPA",10000,1.9238,96.03
"PUMPING STATION 129","FL00301","24h","PE3",10000,2.7735,138.45
"PUMPING STATION 129","FL00301","24h","GNO",10000,3.051,152.3
"PUMPING STATION 129","FL00301","24h","GEV",10000,3.0762,153.56
"PUMPING STATION 129","FL00301","24h","GLO",10000,4.4586,222.56
"PUMPING STATION 129","FL00301","72h","GPA",10000,1.7892,98.93
"PUMPING STATION 129","FL00301","72h","PE3",10000,2.6055,144.07
"PUMPING STATION 129","FL00301","72h","GEV",10000,2.728,150.84
"PUMPING STATION 129","FL00301","72h","GNO",10000,2.7927,154.42
"PUMPING STATION 129","FL00301","72h","GLO",10000,3.9392,217.81
"PUMPING STATION 133","FL00292","24h","GPA",10000,1.9238,96.03
"PUMPING STATION 133","FL00292","24h","PE3",10000,2.7735,138.45
"PUMPING STATION 133","FL00292","24h","GNO",10000,3.051,152.3
"PUMPING STATION 133","FL00292","24h","GEV",10000,3.0762,153.56
"PUMPING STATION 133","FL00292","24h","GLO",10000,4.4586,222.56
"PUMPING STATION 133","FL00292","72h","GPA",10000,1.7892,98.93
"PUMPING STATION 133","FL00292","72h","PE3",10000,2.6055,144.07
"PUMPING STATION 133","FL00292","72h","GEV",10000,2.728,150.84
"PUMPING STATION 133","FL00292","72h","GNO",10000,2.7927,154.42
"PUMPING STATION 133","FL00292","72h","GLO",10000,3.9392,217.81
"PUMPING STATION 135 AND LOCK","FL00300","24h","GPA",10000,1.9238,96.03
"PUMPING STATION 135 AND LOCK","FL00300","24h","PE3",10000,2.7735,138.45
"PUMPING STATION 135 AND LOCK","FL00300","24h","GNO",10000,3.051,152.3
"PUMPING STATION 135 AND LOCK","FL00300","24h","GEV",10000,3.0762,153.56
"PUMPING STATION 135 AND LOCK","FL00300","24h","GLO",10000,4.4586,222.56
"PUMPING STATION 135 AND LOCK","FL00300","72h","GPA",10000,1.7892,98.93
"PUMPING STATION 135 AND LOCK","FL00300","72h","PE3",10000,2.6055,144.07
"PUMPING STATION 135 AND LOCK","FL00300","72h","GEV",10000,2.728,150.84
"PUMPING STATION 135 AND LOCK","FL00300","72h","GNO",10000,2.7927,154.42
"PUMPING STATION 135 AND LOCK","FL00300","72h","GLO",10000,3.9392,217.81
"HENRY CREEK LOCK","FL00297","24h","GPA",10000,1.9238,96.03
"HENRY CREEK LOCK","FL00297","24h","PE3",10000,2.7735,138.45
"HENRY CREEK LOCK","FL00297","24h","GNO",10000,3.051,152.3
"HENRY CREEK LOCK","FL00297","24h","GEV",10000,3.0762,153.56
"HENRY CREEK LOCK","FL00297","24h","GLO",10000,4.4586,222.56
"HENRY CREEK LOCK","FL00297","72h","GPA",10000,1.7892,98.93
"HENRY CREEK LOCK","FL00297","72h","PE3",10000,2.6055,144.07
"HENRY CREEK LOCK","FL00297","72h","GEV",10000,2.728,150.84
"HENRY CREEK LOCK","FL00297","72h","GNO",10000,2.7927,154.42
"HENRY CREEK LOCK","FL00297","72h","GLO",10000,3.9392,217.81
"STRUCTURE 153","FL00426","24h","GPA",10000,1.9238,96.03
"STRUCTURE 153","FL00426","24h","PE3",10000,2.7735,138.45
"STRUCTURE 153","FL00426","24h","GNO",10000,3.051,152.3
"STRUCTURE 153","FL00426","24h","GEV",10000,3.0762,153.56
"STRUCTURE 153","FL00426","24h","GLO",10000,4.4586,222.56
"STRUCTURE 153","FL00426","72h","GPA",10000,1.7892,98.93
"STRUCTURE 153","FL00426","72h","PE3",10000,2.6055,144.07
"STRUCTURE 153","FL00426","72h","GEV",10000,2.728,150.84
"STRUCTURE 153","FL00426","72h","GNO",10000,2.7927,154.42
"STRUCTURE 153","FL00426","72h","GLO",10000,3.9392,217.81
"STRUCTURE 193 (HURRICANE GATE NO.6)","FL00291","24h","GPA",10000,1.9238,96.03
"STRUCTURE 193 (HURRICANE GATE NO.6)","FL00291","24h","PE3",10000,2.7735,138.45
"STRUCTURE 193 (HURRICANE GATE NO.6)","FL00291","24h","GNO",10000,3.051,152.3
"STRUCTURE 193 (HURRICANE GATE NO.6)","FL00291","24h","GEV",10000,3.0762,153.56
"STRUCTURE 193 (HURRICANE GATE NO.6)","FL00291","24h","GLO",10000,4.4586,222.56
"STRUCTURE 193 (HURRICANE GATE NO.6)","FL00291","72h","GPA",10000,1.7892,98.93
"STRUCTURE 193 (HURRICANE GATE NO.6)","FL00291","72h","PE3",10000,2.6055,144.07
"STRUCTURE 193 (HURRICANE GATE NO.6)","FL00291","72h","GEV",10000,2.728,150.84
"STRUCTURE 193 (HURRICANE GATE NO.6)","FL00291","72h","GNO",10000,2.7927,154.42
"STRUCTURE 193 (HURRICANE GATE NO.6)","FL00291","72h","GLO",10000,3.9392,217.81
"PUMPING STATION NO. 236","FL00678","24h","GPA",10000,1.9238,96.03
"PUMPING STATION NO. 236","FL00678","24h","PE3",10000,2.7735,138.45
"PUMPING STATION NO. 236","FL00678","24h","GNO",10000,3.051,152.3
"PUMPING STATION NO. 236","FL00678","24h","GEV",10000,3.0762,153.56
"PUMPING STATION NO. 236","FL00678","24h","GLO",10000,4.4586,222.56
"PUMPING STATION NO. 236","FL00678","72h","GPA",10000,1.7892,98.93
"PUMPING STATION NO. 236","FL00678","72h","PE3",10000,2.6055,144.07
"PUMPING STATION NO. 236","FL00678","72h","GEV",10000,2.728,150.84
"PUMPING STATION NO. 236","FL00678","72h","GNO",10000,2.7927,154.42
"PUMPING STATION NO. 236","FL00678","72h","GLO",10000,3.9392,217.81
"STRUCTURE 310 (HURRICANE GATE NO.2)","FL00312","24h","GPA",10000,1.9238,96.03
"STRUCTURE 310 (HURRICANE GATE NO.2)","FL00312","24h","PE3",10000,2.7735,138.45
"STRUCTURE 310 (HURRICANE GATE NO.2)","FL00312","24h","GNO",10000,3.051,152.3
"STRUCTURE 310 (HURRICANE GATE NO.2)","FL00312","24h","GEV",10000,3.0762,153.56
"STRUCTURE 310 (HURRICANE GATE NO.2)","FL00312","24h","GLO",10000,4.4586,222.56
"STRUCTURE 310 (HURRICANE GATE NO.2)","FL00312","72h","GPA",10000,1.7892,98.93
"STRUCTURE 310 (HURRICANE GATE NO.2)","FL00312","72h","PE3",10000,2.6055,144.07
"STRUCTURE 310 (HURRICANE GATE NO.2)","FL00312","72h","GEV",10000,2.728,150.84
"STRUCTURE 310 (HURRICANE GATE NO.2)","FL00312","72h","GNO",10000,2.7927,154.42
"STRUCTURE 310 (HURRICANE GATE NO.2)","FL00312","72h","GLO",10000,3.9392,217.81
"KENTUCKY","KY15701","24h","GPA",10000,1.9238,96.03
"KENTUCKY","KY15701","24h","PE3",10000,2.7735,138.45
"KENTUCKY","KY15701","24h","GNO",10000,3.051,152.3
"KENTUCKY","KY15701","24h","GEV",10000,3.0762,153.56
"KENTUCKY","KY15701","24h","GLO",10000,4.4586,222.56
"KENTUCKY","KY15701","72h","GPA",10000,1.7892,98.93
"KENTUCKY","KY15701","72h","PE3",10000,2.6055,144.07
"KENTUCKY","KY15701","72h","GEV",10000,2.728,150.84
"KENTUCKY","KY15701","72h","GNO",10000,2.7927,154.42
"KENTUCKY","KY15701","72h","GLO",10000,3.9392,217.81
"SAM RAYBURN DAM AND RESERVOIR","TX00011","24h","GPA",10000,1.9238,96.03
"SAM RAYBURN DAM AND RESERVOIR","TX00011","24h","PE3",10000,2.7735,138.45
"SAM RAYBURN DAM AND RESERVOIR","TX00011","24h","GNO",10000,3.051,152.3
"SAM RAYBURN DAM AND RESERVOIR","TX00011","24h","GEV",10000,3.0762,153.56
"SAM RAYBURN DAM AND RESERVOIR","TX00011","24h","GLO",10000,4.4586,222.56
"SAM RAYBURN DAM AND RESERVOIR","TX00011","72h","GPA",10000,1.7892,98.93
"SAM RAYBURN DAM AND RESERVOIR","TX00011","72h","PE3",10000,2.6055,144.07
"SAM RAYBURN DAM AND RESERVOIR","TX00011","72h","GEV",10000,2.728,150.84
"SAM RAYBURN DAM AND RESERVOIR","TX00011","72h","GNO",10000,2.7927,154.42
"SAM RAYBURN DAM AND RESERVOIR","TX00011","72h","GLO",10000,3.9392,217.81
"FORT RANDALL DAM","SD01093","24h","GPA",10000,2.2058,138.54
"FORT RANDALL DAM","SD01093","24h","PE3",10000,3.2601,204.76
"FORT RANDALL DAM","SD01093","24h","GNO",10000,3.6489,229.18
"FORT RANDALL DAM","SD01093","24h","GEV",10000,3.7304,234.3
"FORT RANDALL DAM","SD01093","24h","GLO",10000,5.5118,346.18
"FORT RANDALL DAM","SD01093","72h","GPA",10000,2.015,150.53
"FORT RANDALL DAM","SD01093","72h","PE3",10000,3.0232,225.84
"FORT RANDALL DAM","SD01093","72h","GEV",10000,3.2465,242.52
"FORT RANDALL DAM","SD01093","72h","GNO",10000,3.2883,245.65
"FORT RANDALL DAM","SD01093","72h","GLO",10000,4.7921,357.99
"LIBBY","MT00652","24h","GPA",10000,2.0054,86.02
"LIBBY","MT00652","24h","PE3",10000,2.9717,127.47
"LIBBY","MT00652","24h","GEV",10000,3.2413,139.04
"LIBBY","MT00652","24h","GNO",10000,3.2521,139.5
"LIBBY","MT00652","24h","GLO",10000,4.7614,204.25
"LIBBY","MT00652","72h","GPA",10000,1.9603,119.62
"LIBBY","MT00652","72h","PE3",10000,2.9242,178.45
"LIBBY","MT00652","72h","GEV",10000,3.1199,190.39
"LIBBY","MT00652","72h","GNO",10000,3.1693,193.4
"LIBBY","MT00652","72h","GLO",10000,4.5854,279.82
"BULL SHOALS","AR00160","24h","GPA",10000,2.4718,253.96
"BULL SHOALS","AR00160","24h","PE3",10000,3.4074,350.09
"BULL SHOALS","AR00160","24h","GNO",10000,4.022,413.23
"BULL SHOALS","AR00160","24h","GEV",10000,4.404,452.49
"BULL SHOALS","AR00160","24h","GLO",10000,6.3945,657
"BULL SHOALS","AR00160","72h","GPA",10000,2.4859,333.27
"BULL SHOALS","AR00160","72h","PE3",10000,3.3802,453.17
"BULL SHOALS","AR00160","72h","GNO",10000,4.0171,538.56
"BULL SHOALS","AR00160","72h","GEV",10000,4.4399,595.25
"BULL SHOALS","AR00160","72h","GLO",10000,6.4191,860.59
"HARRY S TRUMAN DAM","MO20725","24h","GPA",10000,1.9238,96.03
"HARRY S TRUMAN DAM","MO20725","24h","PE3",10000,2.7735,138.45
"HARRY S TRUMAN DAM","MO20725","24h","GNO",10000,3.051,152.3
"HARRY S TRUMAN DAM","MO20725","24h","GEV",10000,3.0762,153.56
"HARRY S TRUMAN DAM","MO20725","24h","GLO",10000,4.4586,222.56
"HARRY S TRUMAN DAM","MO20725","72h","GPA",10000,1.7892,98.93
"HARRY S TRUMAN DAM","MO20725","72h","PE3",10000,2.6055,144.07
"HARRY S TRUMAN DAM","MO20725","72h","GEV",10000,2.728,150.84
"HARRY S TRUMAN DAM","MO20725","72h","GNO",10000,2.7927,154.42
"HARRY S TRUMAN DAM","MO20725","72h","GLO",10000,3.9392,217.81
"TOLEDO BEND SADDLE DIKE 1","LA00030","24h","GPA",10000,1.9238,96.03
"TOLEDO BEND SADDLE DIKE 1","LA00030","24h","PE3",10000,2.7735,138.45
"TOLEDO BEND SADDLE DIKE 1","LA00030","24h","GNO",10000,3.051,152.3
"TOLEDO BEND SADDLE DIKE 1","LA00030","24h","GEV",10000,3.0762,153.56
"TOLEDO BEND SADDLE DIKE 1","LA00030","24h","GLO",10000,4.4586,222.56
"TOLEDO BEND SADDLE DIKE 1","LA00030","72h","GPA",10000,1.7892,98.93
"TOLEDO BEND SADDLE DIKE 1","LA00030","72h","PE3",10000,2.6055,144.07
"TOLEDO BEND SADDLE DIKE 1","LA00030","72h","GEV",10000,2.728,150.84
"TOLEDO BEND SADDLE DIKE 1","LA00030","72h","GNO",10000,2.7927,154.42
"TOLEDO BEND SADDLE DIKE 1","LA00030","72h","GLO",10000,3.9392,217.81
"PAINTED ROCK DAM","AZ10002","24h","GPA",10000,2.5894,135.91
"PAINTED ROCK DAM","AZ10002","24h","PE3",10000,3.8151,200.24
"PAINTED ROCK DAM","AZ10002","24h","GNO",10000,4.3993,230.9
"PAINTED ROCK DAM","AZ10002","24h","GEV",10000,4.6442,243.76
"PAINTED ROCK DAM","AZ10002","24h","GLO",10000,6.9137,362.88
"PAINTED ROCK DAM","AZ10002","72h","GPA",10000,2.2992,146.79
"PAINTED ROCK DAM","AZ10002","72h","PE3",10000,3.4961,223.21
"PAINTED ROCK DAM","AZ10002","72h","GNO",10000,3.8854,248.06
"PAINTED ROCK DAM","AZ10002","72h","GEV",10000,3.919,250.2
"PAINTED ROCK DAM","AZ10002","72h","GLO",10000,5.8638,374.37
"SHASTA","CA10186","24h","GPA",10000,2.0241,165.38
"SHASTA","CA10186","24h","PE3",10000,3.045,248.8
"SHASTA","CA10186","24h","GEV",10000,3.2645,266.73
"SHASTA","CA10186","24h","GNO",10000,3.3104,270.48
"SHASTA","CA10186","24h","GLO",10000,4.8252,394.25
"SHASTA","CA10186","72h","GPA",10000,2.1145,283.94
"SHASTA","CA10186","72h","PE3",10000,3.2334,434.2
"SHASTA","CA10186","72h","GEV",10000,3.4601,464.64
"SHASTA","CA10186","72h","GNO",10000,3.5177,472.37
"SHASTA","CA10186","72h","GLO",10000,5.161,693.04
"FLAMING GORGE","UT10121","24h","GPA",10000,2.4442,66.58
"FLAMING GORGE","UT10121","24h","PE3",10000,3.5285,96.12
"FLAMING GORGE","UT10121","24h","GNO",10000,4.0711,110.9
"FLAMING GORGE","UT10121","24h","GEV",10000,4.3176,117.61
"FLAMING GORGE","UT10121","24h","GLO",10000,6.3644,173.37
"FLAMING GORGE","UT10121","72h","GPA",10000,2.3108,80.24
"FLAMING GORGE","UT10121","72h","PE3",10000,3.4367,119.34
"FLAMING GORGE","UT10121","72h","GNO",10000,3.8688,134.34
"FLAMING GORGE","UT10121","72h","GEV",10000,3.9747,138.02
"FLAMING GORGE","UT10121","72h","GLO",10000,5.9022,204.95
"RAINY LAKE","MN00653","24h","GPA",10000,1.9238,96.03
"RAINY LAKE","MN00653","24h","PE3",10000,2.7735,138.45
"RAINY LAKE","MN00653","24h","GNO",10000,3.051,152.3
"RAINY LAKE","MN00653","24h","GEV",10000,3.0762,153.56
"RAINY LAKE","MN00653","24h","GLO",10000,4.4586,222.56
"RAINY LAKE","MN00653","72h","GPA",10000,1.7892,98.93
"RAINY LAKE","MN00653","72h","PE3",10000,2.6055,144.07
"RAINY LAKE","MN00653","72h","GEV",10000,2.728,150.84
"RAINY LAKE","MN00653","72h","GNO",10000,2.7927,154.42
"RAINY LAKE","MN00653","72h","GLO",10000,3.9392,217.81
"J. STROM THURMOND DAM","GA01701","24h","GPA",10000,2.5948,353.51
"J. STROM THURMOND DAM","GA01701","24h","PE3",10000,3.5593,484.91
"J. STROM THURMOND DAM","GA01701","24h","GNO",10000,4.2414,577.84
"J. STROM THURMOND DAM","GA01701","24h","GEV",10000,4.6918,639.22
"J. STROM THURMOND DAM","GA01701","24h","GLO",10000,6.8189,929
"J. STROM THURMOND DAM","GA01701","72h","GPA",10000,2.495,439.04
"J. STROM THURMOND DAM","GA01701","72h","PE3",10000,3.3979,597.91
"J. STROM THURMOND DAM","GA01701","72h","GNO",10000,4.0378,710.5
"J. STROM THURMOND DAM","GA01701","72h","GEV",10000,4.461,784.98
"J. STROM THURMOND DAM","GA01701","72h","GLO",10000,6.4543,1135.72
"BLAKELY MOUNTAIN DAM","AR00150","24h","GPA",10000,2.4718,253.96
"BLAKELY MOUNTAIN DAM","AR00150","24h","PE3",10000,3.4074,350.09
"BLAKELY MOUNTAIN DAM","AR00150","24h","GNO",10000,4.022,413.23
"BLAKELY MOUNTAIN DAM","AR00150","24h","GEV",10000,4.404,452.49
"BLAKELY MOUNTAIN DAM","AR00150","24h","GLO",10000,6.3945,657
"BLAKELY MOUNTAIN DAM","AR00150","72h","GPA",10000,2.4859,333.27
"BLAKELY MOUNTAIN DAM","AR00150","72h","PE3",10000,3.3802,453.17
"BLAKELY MOUNTAIN DAM","AR00150","72h","GNO",10000,4.0171,538.56
"BLAKELY MOUNTAIN DAM","AR00150","72h","GEV",10000,4.4399,595.25
"BLAKELY MOUNTAIN DAM","AR00150","72h","GLO",10000,6.4191,860.59
"HUNGRY HORSE","MT00565","24h","GPA",10000,2.1426,99.24
"HUNGRY HORSE","MT00565","24h","PE3",10000,3.1771,147.15
"HUNGRY HORSE","MT00565","24h","GNO",10000,3.5285,163.43
"HUNGRY HORSE","MT00565","24h","GEV",10000,3.5745,165.56
"HUNGRY HORSE","MT00565","24h","GLO",10000,5.2776,244.44
"HUNGRY HORSE","MT00565","72h","GPA",10000,2.2655,149.66
"HUNGRY HORSE","MT00565","72h","PE3",10000,3.2788,216.59
"HUNGRY HORSE","MT00565","72h","GNO",10000,3.7285,246.3
"HUNGRY HORSE","MT00565","72h","GEV",10000,3.893,257.17
"HUNGRY HORSE","MT00565","72h","GLO",10000,5.719,377.79
"DWORSHAK DAM AND RESERVOIR","ID00287","24h","GPA",10000,1.942,89.19
