"site","site_id","duration","station_id","name","lat","lon","elev_m","distance_km","n_years","mean_mm"
"GRIZZLY VALLEY","CA00039","72h","USC00048606","STRAWBERRY VALLEY 2",39.5319,-121.1611,1130.8,70.3,73,285.29
"GRIZZLY VALLEY","CA00039","72h","USC00042338","DEER CREEK FOREBAY",39.3,-120.8333,1357.9,71.6,21,225.57
"GRIZZLY VALLEY","CA00039","72h","USC00042334","DEER CREEK PH",39.3,-120.85,1129,72.2,42,262.18
"GRIZZLY VALLEY","CA00039","72h","USC00267697","SPARKS",39.5558,-119.7333,1328,73.3,28,37.3
"GRIZZLY VALLEY","CA00039","72h","USW00023185","RENO AP",39.5078,-119.7683,1342.6,73.6,89,36.99
"GRIZZLY VALLEY","CA00039","72h","USC00267261","SAND PASS",40.3167,-119.8,1189.9,75.1,46,36.45
"GRIZZLY VALLEY","CA00039","72h","USC00267953","SUTCLIFFE",39.9508,-119.5986,1188.7,75.3,46,36.88
"GRIZZLY VALLEY","CA00039","72h","USC00041130","BRUSH CREEK RS",39.695,-121.3453,1085.1,77.1,39,257.79
"GRIZZLY VALLEY","CA00039","72h","USC00041653","CHALLENGE RS",39.4833,-121.2167,783.3,77.3,47,232.36
"GRIZZLY VALLEY","CA00039","72h","USS0020K30S","Squaw Valley G.C.",39.19,-120.26,2447.2,79.2,46,201.23
"GRIZZLY VALLEY","CA00039","72h","USC00041700","CHESTER",40.3022,-121.2439,1387.1,80.2,96,117.46
"GRIZZLY VALLEY","CA00039","72h","USC00046136","NEVADA CITY",39.2467,-121.0008,847.6,83.8,120,194.14
"GRIZZLY VALLEY","CA00039","72h","USS0020K27S","Tahoe City Cross",39.17,-120.15,2071.7,84.1,46,135.07
"GRIZZLY VALLEY","CA00039","72h","USC00048758","TAHOE CITY",39.1678,-120.1428,1898.9,84.5,113,131.98
"GRIZZLY VALLEY","CA00039","72h","USS0020K25S","Ward Creek #3",39.14,-120.22,2028.4,85.5,47,233.85
"BIG SAGE","CA00233","24h","USW00094299","ALTURAS MUNI AP",41.4836,-120.5614,1335.9,11.8,27,24.53
"BIG SAGE","CA00233","24h","USC00040161","ALTURAS",41.4903,-120.5439,1332.9,12,91,29.32
"BIG SAGE","CA00233","24h","USS0020H06S","Cedar Pass",41.58,-120.3,2142.7,27.3,48,50.29
"BIG SAGE","CA00233","24h","USC00041476","CANBY 3 SW",41.4219,-120.9017,1313.7,28.7,40,36.37
"BIG SAGE","CA00233","24h","USS0020H02S","Crowder Flat",41.89,-120.75,1575.8,36.2,27,29.98
"BIG SAGE","CA00233","24h","USC00041614","CEDARVILLE",41.53,-120.1792,1428.9,37.7,81,30.7
"BIG SAGE","CA00233","24h","USS0020H13S","Adin Mtn",41.24,-120.79,1886.7,39.9,42,46.82
"BIG SAGE","CA00233","24h","USC00044374","JESS VALLEY",41.2706,-120.2983,1621.2,43.8,69,35.93
"BIG SAGE","CA00233","24h","USC00040029","ADIN RS",41.1933,-120.9444,1280.8,50.3,74,32.97
"BIG SAGE","CA00233","24h","USC00041805","CLEAR LAKE DAM",41.9333,-121.0667,1393.9,53.8,25,30.54
"BIG SAGE","CA00233","24h","USS0020H12S","Dismal Swamp",41.99,-120.18,2243.3,59,46,66.7
"BIG SAGE","CA00233","24h","USS0020G09S","Strawberry",42.13,-120.84,1758.7,63.9,46,35.02
"BIG SAGE","CA00233","24h","USC00044838","LAVA BEDS NAT MON",41.7117,-121.5067,1455.4,74.6,41,40.31
"BIG SAGE","CA00233","24h","USC00355174","MALIN 5 E",42.0078,-121.3186,1410.3,74.6,26,29.45
"BIG SAGE","CA00233","24h","USC00354670","LAKEVIEW 2 NNW",42.2414,-120.3678,1490.5,76.9,104,28.5
"BIG SAGE","CA00233","24h","USC00048873","TERMO 1 E",40.8667,-120.4333,1615.4,80.7,40,29.44
"BIG SAGE","CA00233","24h","USC00353232","GERBER DAM",42.2053,-121.1314,1484.4,81.3,33,32.07
"BIG SAGE","CA00233","24h","USS0021G04S","Gerber Reservoir",42.21,-121.13,1490.5,81.7,28,30.75
"BIG SAGE","CA00233","24h","USC00049053","TULELAKE",41.96,-121.4744,1230.8,82.1,86,26.13
"BIG SAGE","CA00233","24h","USS0020G06S","Quartz Mountain",42.32,-120.83,1743.5,84.2,46,31.44
"BIG SAGE","CA00233","24h","USC00357354","ROUND GROVE",42.3414,-120.8894,1489.9,87.6,60,36.57
"BIG SAGE","CA00233","24h","USC00267443","SHELDON",41.85,-119.6333,1983,87.9,40,25.04
"BIG SAGE","CA00233","24h","USC00350036","ADEL",42.1761,-119.8958,1399,90,30,27.7
"BIG SAGE","CA00233","24h","USC00042964","FALL RVR MILLS",41.0081,-121.435,1005.8,92.5,52,43.62
"BIG SAGE","CA00233","24h","USC00358812","VALLEY FALLS",42.4844,-120.2822,1318.3,104.8,42,38.13
"BIG SAGE","CA00233","24h","USC00043824","HAT CREEK",40.9317,-121.5433,919,105,89,42.93
"BIG SAGE","CA00233","24h","USC00359604","YONNA",42.3,-121.4833,1275,107.1,31,28.74
"BIG SAGE","CA00233","24h","USW00094236","KLAMATH FALLS INTL AP",42.1469,-121.7256,1244.5,110.8,38,28.08
"BIG SAGE","CA00233","24h","USC00041214","BURNEY",40.8803,-121.6547,974.8,115.7,58,61.58
"BIG SAGE","CA00233","24h","USC00354506","KLAMATH FALLS 2 SSW",42.2008,-121.7814,1249.1,118,91,31.77
"BIG SAGE","CA00233","24h","USC00358007","SPRAGUE RIVER 2 SE",42.4306,-121.4892,1366.4,118.6,30,37.67
"BIG SAGE","CA00233","24h","USS0020G12S","Crazyman Flat",42.64,-120.95,1883.7,121.1,25,49.14
"BIG SAGE","CA00233","24h","USS0020G02S","Summer Rim",42.7,-120.8,2158,125.6,48,37.85
"BIG SAGE","CA00233","24h","USC00041149","BUCKHORN",40.8797,-121.9317,1127.8,133.9,62,115.15
"BIG SAGE","CA00233","24h","USC00353692","HART MTN REFUGE",42.5486,-119.6558,1712.4,134.5,67,28.94
"BIG SAGE","CA00233","24h","USC00262394","DUFURRENA - DENIO 22WSW",41.8678,-119.0147,1472.2,137.7,47,20.3
"BIG SAGE","CA00233","24h","USC00047581","ROUND MOUNTAIN",40.7956,-121.935,640.1,139.8,36,107.11
"BIG SAGE","CA00233","24h","USC00045311","MANZANITA LAKE",40.5411,-121.5767,1752.6,140.1,56,78.57
"BIG SAGE","CA00233","72h","USW00094299","ALTURAS MUNI AP",41.4836,-120.5614,1335.9,11.8,27,32.81
"BIG SAGE","CA00233","72h","USC00040161","ALTURAS",41.4903,-120.5439,1332.9,12,91,38.08
"BIG SAGE","CA00233","72h","USS0020H06S","Cedar Pass",41.58,-120.3,2142.7,27.3,48,75.44
"BIG SAGE","CA00233","72h","USC00041476","CANBY 3 SW",41.4219,-120.9017,1313.7,28.7,40,50.59
"BIG SAGE","CA00233","72h","USC00044675","LAKE CITY",41.6333,-120.2167,1406,34.7,24,69.89
"BIG SAGE","CA00233","72h","USS0020H02S","Crowder Flat",41.89,-120.75,1575.8,36.2,27,42.65
"BIG SAGE","CA00233","72h","USS0020H13S","Adin Mtn",41.24,-120.79,1886.7,39.9,42,71.7
"BIG SAGE","CA00233","72h","USC00044374","JESS VALLEY",41.2706,-120.2983,1621.2,43.8,69,47.33
"BIG SAGE","CA00233","72h","USC00040029","ADIN RS",41.1933,-120.9444,1280.8,50.3,74,47.7
"BIG SAGE","CA00233","72h","USC00043157","FT BIDWELL",41.8714,-120.1575,1444.4,50.9,119,51.74
"BIG SAGE","CA00233","72h","USS0020G09S","Strawberry",42.13,-120.84,1758.7,63.9,46,52.68
"BIG SAGE","CA00233","72h","USC00044838","LAVA BEDS NAT MON",41.7117,-121.5067,1455.4,74.6,41,56.75
"BIG SAGE","CA00233","72h","USC00355174","MALIN 5 E",42.0078,-121.3186,1410.3,74.6,26,37.77
"BIG SAGE","CA00233","72h","USC00354670","LAKEVIEW 2 NNW",42.2414,-120.3678,1490.5,76.9,104,42.2
"BIG SAGE","CA00233","72h","USC00048873","TERMO 1 E",40.8667,-120.4333,1615.4,80.7,40,37.19
"BIG SAGE","CA00233","72h","USS0021G04S","Gerber Reservoir",42.21,-121.13,1490.5,81.7,28,45.22
"BIG SAGE","CA00233","72h","USC00049053","TULELAKE",41.96,-121.4744,1230.8,82.1,86,34.36
"BIG SAGE","CA00233","72h","USS0020G06S","Quartz Mountain",42.32,-120.83,1743.5,84.2,46,47.04
"BIG SAGE","CA00233","72h","USC00357354","ROUND GROVE",42.3414,-120.8894,1489.9,87.6,60,50.89
"BIG SAGE","CA00233","72h","USC00267443","SHELDON",41.85,-119.6333,1983,87.9,40,33.69
"BIG SAGE","CA00233","72h","USC00350036","ADEL",42.1761,-119.8958,1399,90,30,35.82
"BIG SAGE","CA00233","72h","USC00042964","FALL RVR MILLS",41.0081,-121.435,1005.8,92.5,52,60.51
"BIG SAGE","CA00233","72h","USC00358812","VALLEY FALLS",42.4844,-120.2822,1318.3,104.8,42,49.16
"BIG SAGE","CA00233","72h","USC00043824","HAT CREEK",40.9317,-121.5433,919,105,89,61.44
"BIG SAGE","CA00233","72h","USC00359604","YONNA",42.3,-121.4833,1275,107.1,31,42.1
"BIG SAGE","CA00233","72h","USW00094236","KLAMATH FALLS INTL AP",42.1469,-121.7256,1244.5,110.8,38,38.97
"BIG SAGE","CA00233","72h","USC00041214","BURNEY",40.8803,-121.6547,974.8,115.7,58,98
"BIG SAGE","CA00233","72h","USC00354506","KLAMATH FALLS 2 SSW",42.2008,-121.7814,1249.1,118,91,45.54
"BIG SAGE","CA00233","72h","USC00358007","SPRAGUE RIVER 2 SE",42.4306,-121.4892,1366.4,118.6,30,55.14
"BIG SAGE","CA00233","72h","USC00354403","KENO",42.0944,-121.9022,1258.2,120.2,90,64.21
"BIG SAGE","CA00233","72h","USS0020G12S","Crazyman Flat",42.64,-120.95,1883.7,121.1,25,82.25
"BIG SAGE","CA00233","72h","USC00356426","PAISLEY",42.6922,-120.5403,1328.9,124.1,79,43.82
"BIG SAGE","CA00233","72h","USC00045449","MCCLOUD",41.2517,-122.1383,985.4,131.1,76,164.75
"BIG SAGE","CA00233","72h","USC00041149","BUCKHORN",40.8797,-121.9317,1127.8,133.9,62,184.14
"BIG SAGE","CA00233","72h","USC00353692","HART MTN REFUGE",42.5486,-119.6558,1712.4,134.5,67,37.55
"BIG SAGE","CA00233","72h","USC00262394","DUFURRENA - DENIO 22WSW",41.8678,-119.0147,1472.2,137.7,47,23.7
"BIG SAGE","CA00233","72h","USC00047581","ROUND MOUNTAIN",40.7956,-121.935,640.1,139.8,36,174.2
"BIG SAGE","CA00233","72h","USC00045311","MANZANITA LAKE",40.5411,-121.5767,1752.6,140.1,56,123.6
"GERBER RESERVOR","OR00584","24h","USC00353232","GERBER DAM",42.2053,-121.1314,1484.4,0.5,33,32.07
"GERBER RESERVOR","OR00584","24h","USS0021G04S","Gerber Reservoir",42.21,-121.13,1490.5,1,28,30.75
"GERBER RESERVOR","OR00584","24h","USS0020G09S","Strawberry",42.13,-120.84,1758.7,25.2,46,35.02
"GERBER RESERVOR","OR00584","24h","USC00357354","ROUND GROVE",42.3414,-120.8894,1489.9,25.2,60,36.57
"GERBER RESERVOR","OR00584","24h","USC00355174","MALIN 5 E",42.0078,-121.3186,1410.3,26.5,26,29.45
"GERBER RESERVOR","OR00584","24h","USS0020G06S","Quartz Mountain",42.32,-120.83,1743.5,28,46,31.44
"GERBER RESERVOR","OR00584","24h","USC00041805","CLEAR LAKE DAM",41.9333,-121.0667,1393.9,30.2,25,30.54
"GERBER RESERVOR","OR00584","24h","USC00359604","YONNA",42.3,-121.4833,1275,31.1,31,28.74
"GERBER RESERVOR","OR00584","24h","USC00049053","TULELAKE",41.96,-121.4744,1230.8,39.1,86,26.13
"GERBER RESERVOR","OR00584","24h","USS0020H02S","Crowder Flat",41.89,-120.75,1575.8,46.7,27,29.98
"GERBER RESERVOR","OR00584","24h","USW00094236","KLAMATH FALLS INTL AP",42.1469,-121.7256,1244.5,49.5,38,28.08
"GERBER RESERVOR","OR00584","24h","USS0020G12S","Crazyman Flat",42.64,-120.95,1883.7,51,25,49.14
"GERBER RESERVOR","OR00584","24h","USC00354506","KLAMATH FALLS 2 SSW",42.2008,-121.7814,1249.1,53.7,91,31.77
"GERBER RESERVOR","OR00584","24h","USS0021G03S","Taylor Butte",42.69,-121.43,1533.1,59.7,48,39.22
"GERBER RESERVOR","OR00584","24h","USS0020G02S","Summer Rim",42.7,-120.8,2158,61.7,48,37.85
"GERBER RESERVOR","OR00584","24h","USC00044838","LAVA BEDS NAT MON",41.7117,-121.5067,1455.4,62.7,41,40.31
"GERBER RESERVOR","OR00584","24h","USC00354670","LAKEVIEW 2 NNW",42.2414,-120.3678,1490.5,62.9,104,28.5
"GERBER RESERVOR","OR00584","24h","USC00351571","CHILOQUIN 1 E",42.5833,-121.8667,1278,73.9,56,36.31
"GERBER RESERVOR","OR00584","24h","USC00358812","VALLEY FALLS",42.4844,-120.2822,1318.3,76.5,42,38.13
"GERBER RESERVOR","OR00584","24h","USS0021F12S","Silver Creek",42.96,-121.18,1749.6,84.5,46,45.36
"GERBER RESERVOR","OR00584","24h","USC00043157","FT BIDWELL",41.8714,-120.1575,1444.4,88.3,119,37.19
"GERBER RESERVOR","OR00584","24h","USC00358173","SUMMER LAKE 1 S",42.955,-120.7869,1276.8,88.4,66,34.13
"GERBER RESERVOR","OR00584","24h","USC00041476","CANBY 3 SW",41.4219,-120.9017,1313.7,88.7,40,36.37
"GERBER RESERVOR","OR00584","24h","USC00351574","CHILOQUIN 12 NW (FORT KLAMATH)",42.7039,-121.9956,1275.3,90.4,33,38.42
"GERBER RESERVOR","OR00584","24h","USW00094299","ALTURAS MUNI AP",41.4836,-120.5614,1335.9,92.6,27,24.53
"GERBER RESERVOR","OR00584","24h","USC00040161","ALTURAS",41.4903,-120.5439,1332.9,92.8,91,29.32
"GERBER RESERVOR","OR00584","24h","USS0022G24S","Cold Springs Camp",42.53,-122.18,1810.5,93.7,45,71.11
"GERBER RESERVOR","OR00584","24h","USS0022G12S","Fourmile Lake",42.44,-122.23,1819.7,94.3,48,81.86
"GERBER RESERVOR","OR00584","24h","USS0021G17S","Sun Pass",42.79,-121.98,1645.9,95.6,20,59.27
"GERBER RESERVOR","OR00584","24h","USS0022G13S","Billie Creek Divide",42.41,-122.27,1609.3,96.6,48,73.07
"GERBER RESERVOR","OR00584","24h","USS0020H06S","Cedar Pass",41.58,-120.3,2142.7,97.4,48,50.29
"GERBER RESERVOR","OR00584","24h","USS0022G33S","Sevenmile Marsh",42.7,-122.14,1737.4,99.7,46,87.42
"GERBER RESERVOR","OR00584","24h","USC00354060","HOWARD PRAIRIE DAM",42.2153,-122.3719,1393.2,102.3,65,56.13
"GERBER RESERVOR","OR00584","24h","USS0022G14S","Fish Lk.",42.38,-122.35,1420.4,102.3,46,56.35
"GERBER RESERVOR","OR00584","24h","USC00352928","FISH LAKE",42.3833,-122.35,1414.9,102.4,30,63.72
"GERBER RESERVOR","OR00584","24h","USC00041990","COPCO #1 DAM",41.9797,-122.3381,812.3,102.7,63,43.77
"GERBER RESERVOR","OR00584","24h","USC00357817","SILVER LAKE RS",43.1247,-121.0617,1336.5,102.9,42,29.69
"GERBER RESERVOR","OR00584","24h","USC00041614","CEDARVILLE",41.53,-120.1792,1428.9,108.5,81,30.7
"GERBER RESERVOR","OR00584","24h","USS0020H13S","Adin Mtn",41.24,-120.79,1886.7,110.5,42,46.82
"GERBER RESERVOR","OR00584","24h","USC00351946","CRATER LAKE NPS HQ",42.8978,-122.1339,1976.6,113,93,87.06
"GERBER RESERVOR","OR00584","24h","USS0022G06S","Annie Springs",42.87,-122.17,1831.8,113.1,26,75.85
"GERBER RESERVOR","OR00584","24h","USC00040029","ADIN RS",41.1933,-120.9444,1280.8,113.1,74,32.97
"GERBER RESERVOR","OR00584","24h","USC00353509","GREEN SPRINGS PWR PLT",42.1211,-122.5481,748.6,117.2,62,50.24
"GERBER RESERVOR","OR00584","24h","USC00358420","THE POPLARS",43.2642,-120.945,1317.7,119.2,55,29.77
"GERBER RESERVOR","OR00584","72h","USS0021G04S","Gerber Reservoir",42.21,-121.13,1490.5,1,28,45.22
"GERBER RESERVOR","OR00584","72h","USS0020G09S","Strawberry",42.13,-120.84,1758.7,25.2,46,52.68
"GERBER RESERVOR","OR00584","72h","USC00357354","ROUND GROVE",42.3414,-120.8894,1489.9,25.2,60,50.89
"GERBER RESERVOR","OR00584","72h","USC00355174","MALIN 5 E",42.0078,-121.3186,1410.3,26.5,26,37.77
"GERBER RESERVOR","OR00584","72h","USS0020G06S","Quartz Mountain",42.32,-120.83,1743.5,28,46,47.04
"GERBER RESERVOR","OR00584","72h","USC00041805","CLEAR LAKE DAM",41.9333,-121.0667,1393.9,30.2,25,39.44
"GERBER RESERVOR","OR00584","72h","USC00359604","YONNA",42.3,-121.4833,1275,31.1,31,42.1
"GERBER RESERVOR","OR00584","72h","USC00358007","SPRAGUE RIVER 2 SE",42.4306,-121.4892,1366.4,39,30,55.14
"GERBER RESERVOR","OR00584","72h","USC00049053","TULELAKE",41.96,-121.4744,1230.8,39.1,86,34.36
"GERBER RESERVOR","OR00584","72h","USS0020H02S","Crowder Flat",41.89,-120.75,1575.8,46.7,27,42.65
"GERBER RESERVOR","OR00584","72h","USW00094236","KLAMATH FALLS INTL AP",42.1469,-121.7256,1244.5,49.5,38,38.97
"GERBER RESERVOR","OR00584","72h","USS0020G12S","Crazyman Flat",42.64,-120.95,1883.7,51,25,82.25
"GERBER RESERVOR","OR00584","72h","USC00354506","KLAMATH FALLS 2 SSW",42.2008,-121.7814,1249.1,53.7,91,45.54
"GERBER RESERVOR","OR00584","72h","USS0021G03S","Taylor Butte",42.69,-121.43,1533.1,59.7,48,59.67
"GERBER RESERVOR","OR00584","72h","USS0020G02S","Summer Rim",42.7,-120.8,2158,61.7,48,60.39
"GERBER RESERVOR","OR00584","72h","USC00354670","LAKEVIEW 2 NNW",42.2414,-120.3678,1490.5,62.9,104,42.2
"GERBER RESERVOR","OR00584","72h","USC00354403","KENO",42.0944,-121.9022,1258.2,64.8,90,64.21
"GERBER RESERVOR","OR00584","72h","USC00351571","CHILOQUIN 1 E",42.5833,-121.8667,1278,73.9,56,53.13
"GERBER RESERVOR","OR00584","72h","USC00358812","VALLEY FALLS",42.4844,-120.2822,1318.3,76.5,42,49.16
"GERBER RESERVOR","OR00584","72h","USS0021F12S","Silver Creek",42.96,-121.18,1749.6,84.5,46,70.13
"GERBER RESERVOR","OR00584","72h","USC00043157","FT BIDWELL",41.8714,-120.1575,1444.4,88.3,119,51.74
"GERBER RESERVOR","OR00584","72h","USC00041476","CANBY 3 SW",41.4219,-120.9017,1313.7,88.7,40,50.59
"GERBER RESERVOR","OR00584","72h","USC00351574","CHILOQUIN 12 NW (FORT KLAMATH)",42.7039,-121.9956,1275.3,90.4,33,55.71
"GERBER RESERVOR","OR00584","72h","USW00094299","ALTURAS MUNI AP",41.4836,-120.5614,1335.9,92.6,27,32.81
"GERBER RESERVOR","OR00584","72h","USC00040161","ALTURAS",41.4903,-120.5439,1332.9,92.8,91,38.08
"GERBER RESERVOR","OR00584","72h","USS0022G24S","Cold Springs Camp",42.53,-122.18,1810.5,93.7,45,119.18
"GERBER RESERVOR","OR00584","72h","USS0021G17S","Sun Pass",42.79,-121.98,1645.9,95.6,20,92.37
"GERBER RESERVOR","OR00584","72h","USS0022G13S","Billie Creek Divide",42.41,-122.27,1609.3,96.6,48,118.31
"GERBER RESERVOR","OR00584","72h","USS0020H06S","Cedar Pass",41.58,-120.3,2142.7,97.4,48,75.44
"GERBER RESERVOR","OR00584","72h","USC00044675","LAKE CITY",41.6333,-120.2167,1406,98.5,24,69.89
"GERBER RESERVOR","OR00584","72h","USS0022G33S","Sevenmile Marsh",42.7,-122.14,1737.4,99.7,46,138.36
"GERBER RESERVOR","OR00584","72h","USC00350036","ADEL",42.1761,-119.8958,1399,101.7,30,35.82
"GERBER RESERVOR","OR00584","72h","USC00354060","HOWARD PRAIRIE DAM",42.2153,-122.3719,1393.2,102.3,65,88.22
"GERBER RESERVOR","OR00584","72h","USC00352928","FISH LAKE",42.3833,-122.35,1414.9,102.4,30,91.61
"GERBER RESERVOR","OR00584","72h","USC00041990","COPCO #1 DAM",41.9797,-122.3381,812.3,102.7,63,65.26
"GERBER RESERVOR","OR00584","72h","USC00357817","SILVER LAKE RS",43.1247,-121.0617,1336.5,102.9,42,37.68
"GERBER RESERVOR","OR00584","72h","USS0020H13S","Adin Mtn",41.24,-120.79,1886.7,110.5,42,71.7
"GERBER RESERVOR","OR00584","72h","USS0022G06S","Annie Springs",42.87,-122.17,1831.8,113.1,26,130.51
"GERBER RESERVOR","OR00584","72h","USC00040029","ADIN RS",41.1933,-120.9444,1280.8,113.1,74,47.7
"GERBER RESERVOR","OR00584","72h","USC00358420","THE POPLARS",43.2642,-120.945,1317.7,119.2,55,37.59
"SALT CREEK SITE 18 - BRANCHED OAK","NE01063","24h","USC00254945","LORETTO 7W",41.7614,-98.2139,640.1,143.7,32,66.63
"SALT CREEK SITE 18 - BRANCHED OAK","NE01063","24h","USC00251390","CAIRO",41,-98.6167,609.9,148.1,28,73.7
"SALT CREEK SITE 18 - BRANCHED OAK","NE01063","24h","USC00257330","ROSEMONT 2 S",40.2667,-98.3667,609.9,149.8,22,74.79
"SALT CREEK SITE 18 - BRANCHED OAK","NE01063","24h","USC00253425","GREELEY",41.5461,-98.5331,615.7,154.3,95,67.96
"SALT CREEK SITE 18 - BRANCHED OAK","NE01063","24h","USC00250961","BLUE HILL 4 SW",40.3058,-98.5047,601.1,157.7,67,74.84
"SALT CREEK SITE 18 - BRANCHED OAK","NE01063","24h","US10gree004","SCOTIA 4.0 E",41.4663,-98.6272,609,158.3,22,64.97
"SALT CREEK SITE 18 - BRANCHED OAK","NE01063","24h","US10shem003","ROCKVILLE 2.2 NW",41.1426,-98.8593,613,169.3,23,81.04
"SALT CREEK SITE 18 - BRANCHED OAK","NE01063","24h","USC00257040","RAVENNA",41.0319,-98.9214,623.6,173.7,124,71.38
"SALT CREEK SITE 18 - BRANCHED OAK","NE01063","72h","USC00254945","LORETTO 7W",41.7614,-98.2139,640.1,143.7,32,77.85
"SALT CREEK SITE 18 - BRANCHED OAK","NE01063","72h","USC00257330","ROSEMONT 2 S",40.2667,-98.3667,609.9,149.8,22,84.77
"SALT CREEK SITE 18 - BRANCHED OAK","NE01063","72h","USC00253425","GREELEY",41.5461,-98.5331,615.7,154.3,95,79.79
"SALT CREEK SITE 18 - BRANCHED OAK","NE01063","72h","USC00250961","BLUE HILL 4 SW",40.3058,-98.5047,601.1,157.7,67,85.53
"SALT CREEK SITE 18 - BRANCHED OAK","NE01063","72h","US10gree004","SCOTIA 4.0 E",41.4663,-98.6272,609,158.3,22,78.81
"SALT CREEK SITE 18 - BRANCHED OAK","NE01063","72h","US10shem003","ROCKVILLE 2.2 NW",41.1426,-98.8593,613,169.3,23,94.07
"SALT CREEK SITE 18 - BRANCHED OAK","NE01063","72h","USC00257040","RAVENNA",41.0319,-98.9214,623.6,173.7,124,82.52
"MAMMOTH POOL","CA00443","24h","USC00044176","HUNTINGTON LAKE",37.2275,-119.2206,2139.7,13.6,71,89.8
"MAMMOTH POOL","CA00443","24h","USC00040755","BIG CREEK PH 1",37.2064,-119.2419,1486.8,14.6,49,85.92
"MAMMOTH POOL","CA00443","24h","USC00046252","N FK RS",37.2328,-119.5097,806.2,19.8,67,87.19
"MAMMOTH POOL","CA00443","24h","USC00045496","MEADOW LAKE",37.0833,-119.4333,1366.1,28.6,27,77.19
"MAMMOTH POOL","CA00443","24h","USC00040379","AUBERRY 2 NW",37.0919,-119.5128,637,31,90,68.87
"MAMMOTH POOL","CA00443","24h","USC00048380","SO ENTRANCE YOSEMITE NP",37.5122,-119.6331,1538.3,34.9,65,119.32
"MAMMOTH POOL","CA00443","24h","USC00041878","COARSEGOLD 1 SW",37.2503,-119.7053,679.7,35.3,25,70.48
"MAMMOTH POOL","CA00443","24h","USC00045346","MARIPOSA",37.4833,-119.9667,613,60.1,65,82.09
"MAMMOTH POOL","CA00443","24h","USC00040820","ASPENDELL",37.2322,-118.5994,2581.7,64.3,32,54.52
"MAMMOTH POOL","CA00443","24h","USC00043551","GRANT GROVE",36.7375,-118.9619,2005.6,72.4,73,118.36
"MAMMOTH POOL","CA00443","24h","USC00045400","MATHER",37.885,-119.8561,1374.6,78.5,49,76.34
"MAMMOTH POOL","CA00443","24h","USC00042539","DUDLEYS",37.75,-120.1,915,83.8,62,91.69
"MAMMOTH POOL","CA00443","24h","USC00044679","LAKE ELEANOR",37.9667,-119.8833,1421,87.2,41,103.72
"MAMMOTH POOL","CA00443","24h","USC00043672","GROVELAND RS",37.8231,-120.0983,958.6,88.5,48,93.27
"MAMMOTH POOL","CA00443","24h","USC00041697","CHERRY VALLEY DAM",37.9747,-119.9161,1452.4,89.6,62,119.73
"MAMMOTH POOL","CA00443","24h","USC00045026","LODGEPOLE",36.6044,-118.7325,2052.8,95.3,49,127.23
"MAMMOTH POOL","CA00443","24h","USC00043397","GIANT FOREST",36.5667,-118.7667,1955,97.3,44,138.07
"MAMMOTH POOL","CA00443","24h","USC00043669","GROVELAND 2",37.8444,-120.2258,853.4,98.8,27,87.52
"MAMMOTH POOL","CA00443","24h","USC00040943","BODIE CALIFORNIA ST HISTORIC P",38.2119,-119.0142,2551.2,102.4,53,40.66
"MAMMOTH POOL","CA00443","24h","USC00041072","BRIDGEPORT",38.2575,-119.2286,1972.1,104.2,65,37.17
"MAMMOTH POOL","CA00443","24h","USS0019L08S","Leavitt Meadows",38.3,-119.55,2194,110.5,46,86.17
"MAMMOTH POOL","CA00443","24h","USC00042331","DEEP SPRINGS COLLEGE",37.3739,-117.9803,1592.6,118.3,38,28.6
"MAMMOTH POOL","CA00443","24h","USS0019L06S","Poison Flat",38.51,-119.63,2357.9,134.8,46,75.62
"MAMMOTH POOL","CA00443","24h","USC00041277","CALAVERAS BIG TREES",38.2769,-120.3114,1431,137.4,85,118.41
"MAMMOTH POOL","CA00443","24h","USC00048463","SPRINGVILLE TULE HD",36.1933,-118.6567,1240.5,138.7,38,108.17
"MAMMOTH POOL","CA00443","24h","USC00048455","SPRINGVILLE 7 ENE",36.1667,-118.7,752.9,139.9,20,91.59
"MAMMOTH POOL","CA00443","24h","USC00263512","HAWTHORNE",38.5156,-118.6208,1341.1,146,31,18.27
"MAMMOTH POOL","CA00443","24h","USC00263515","HAWTHORNE AP",38.55,-118.6667,1286.3,147.9,49,21.38
"MAMMOTH POOL","CA00443","24h","USC00048781","TAMARACK",38.6,-119.9333,2457.9,151.9,23,84.87
"MAMMOTH POOL","CA00443","24h","USS0019L40S","Monitor Pass",38.67,-119.61,2532.9,152,36,56.29
"MAMMOTH POOL","CA00443","24h","USS0019L05S","Blue Lakes",38.61,-119.92,2455.8,152.5,46,81.36
"MAMMOTH POOL","CA00443","24h","USC00047689","SALT SPRINGS PWR HOUSE",38.5006,-120.2189,1127.8,153,48,92.24
"MAMMOTH POOL","CA00443","24h","USC00268034","THORNE",38.6,-118.6,1281.1,155.3,27,18.82
"MAMMOTH POOL","CA00443","24h","USS0019L39S","Spratt Creek",38.67,-119.82,1863.9,156.1,46,78.5
"MAMMOTH POOL","CA00443","24h","USC00044204","IDRIA",36.4167,-120.6667,808,156.7,47,55.22
"MAMMOTH POOL","CA00443","24h","USC00045356","MARKLEEVILLE",38.6919,-119.7803,1685.5,157.5,34,63.63
"MAMMOTH POOL","CA00443","24h","USC00268186","TOPAZ LAKE",38.7394,-119.5181,1613,158.5,35,33.97
