state,facility_id,lat,lon,covered,atlas,volume,version,project_area,series_type,units,n_durations,durations
SC,SC00170,33.9233,-81.235,True,14.0,2.0,3.0,Ohio River Basin,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
SC,SC01329,34.9683,-80.835,True,14.0,2.0,3.0,Ohio River Basin,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
SD,SD01067,43.978094,-103.165923,True,14.0,8.0,2.0,Midwestern States,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
SD,SD00035,45.462438,-102.397194,True,14.0,8.0,2.0,Midwestern States,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
TN,TN02315,35.492222,-88.583889,True,14.0,2.0,3.0,Ohio River Basin,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
TN,TN05321,36.009722,-88.698056,True,14.0,2.0,3.0,Ohio River Basin,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
TX,TX01653,31.228901,-99.120553,True,14.0,11.0,2.0,Texas,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
TX,TX05113,31.521931,-96.178296,True,14.0,11.0,2.0,Texas,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
UT,UT00647,40.75202215,-111.80733259,True,14.0,1.0,5.0,Southwest,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
UT,UT00290,40.8485251,-109.9973737,True,14.0,1.0,5.0,Southwest,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
VA,VA14350,37.1016,-79.2733,True,14.0,2.0,3.0,Ohio River Basin,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
VA,VA11308,38.3,-78.1916,True,14.0,2.0,3.0,Ohio River Basin,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
VT,VT00325,44.152,-72.0542,True,14.0,10.0,3.0,Northeastern States,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
VT,VT00113,43.82410049,-72.48368073,True,14.0,10.0,3.0,Northeastern States,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
WA,WA00610,48.79256869,-122.4463392,False,,,,"NONE (NOAA Atlas 2, 1973)",,,0,
WA,WA00324,48.617783,-119.665448,False,,,,"NONE (NOAA Atlas 2, 1973)",,,0,
WI,WI00800,44.835761,-88.625816,True,14.0,8.0,2.0,Midwestern States,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
WI,WI00296,42.6694,-89.0316,True,14.0,8.0,2.0,Midwestern States,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
WV,WV06902,40.07722,-80.53305556,True,14.0,2.0,3.0,Ohio River Basin,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
WV,WV00706,38.73167,-80.59527778,True,14.0,2.0,3.0,Ohio River Basin,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
